CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
32657,CLEOFANO MOTA,ANOS FINAIS,CLEOFANOMOTA,PRESIDENTE PRUDENTE,3.23,2018,URBANA,-51.28472392,-22.38817671
39652,LAURA AUGUSTA DE CARVALHO ROSAS PROFA,ANOS FINAIS,LAURAAUGUSTACARVALHOROSASA,JACAREI,3.23,2018,RURAL,-46.07183075,-23.28166008
40757,JOAQUIM FERNANDO PAES DE BARROS NETO,ANOS FINAIS,JOAQUIMFERNANDOPAESBARROSNETO,ITAPECERICA DA SERRA,3.23,2018,URBANA,-46.85770035,-23.70789909
45251,EZEQUIEL CASTANHO PROF,ANOS FINAIS,EZEQUIELCASTANHO,ITAPETININGA,3.23,2018,URBANA,-48.18502684,-23.37255972
46905,JUVENAL PAIVA PEREIRA PROF,ANOS FINAIS,JUVENALPAIVAREIRA,ITAPETININGA,3.23,2018,RURAL,-48.23897171,-23.5468998
579427,JARDIM ICARAI,ANOS FINAIS,JARDIMICARAI,SAO CARLOS,3.23,2018,URBANA,-48.00851059,-21.95908928
900187,MATHILDE TEIXEIRA DE MORAES PROFESSORA,ANOS FINAIS,MATHILDETEIXEIRAMORAESA,BRAGANCA PAULISTA,3.23,2018,URBANA,-46.5539164,-22.9147444
902408,DURVAL EVARISTO DOS SANTOS VEREADOR,ANOS FINAIS,DURVALEVARISTODOSSANTOS,ITAQUAQUECETUBA,3.23,2018,URBANA,-46.33409882,-23.45929909
902559,VENERANDA MARTINS SIQUEIRA DONA,ANOS FINAIS,VENERANDAMARTINSSIQUEIRA,CAMPINAS OESTE,3.23,2018,URBANA,-47.14382172,-22.96478081
923941,PARQUE PIRATININGA II,ANOS FINAIS,PARQUEPIRATININGAII,ITAQUAQUECETUBA,3.23,2018,URBANA,-46.37972834,-23.43928031
924660,PEDRO CELESTINO TONOLLI PROFESSOR,ANOS FINAIS,OESTINOTONOLLI,PIRASSUNUNGA,3.23,2018,URBANA,-47.3767,-22.1676
925524,WALDIR RODOLPHO DE CASTRO,ANOS FINAIS,WALDIRRODOLPHOCASTRO,SUL 2,3.23,2018,URBANA,-46.77973938,-23.66329956
577,DULCE FERREIRA BOARIN PROFESSORA,ANOS FINAIS,DULCEFERREIRABOARINA,CENTRO,3.22,2018,URBANA,-46.67020035,-23.48973083
18417,PATRIARCA DA INDEPENDENCIA,ANOS FINAIS,PATRIARCAINENDENCIA,CAMPINAS OESTE,3.22,2018,URBANA,-46.97335815,-23.03467941
32529,ANTONIO DE ALMEIDA PRADO,ANOS FINAIS,ANTONIOALMEIDAPRADO,ASSIS,3.22,2018,URBANA,-51.0719986,-22.66139984
34400,MIGUEL MARVULLO,ANOS FINAIS,MIGUELMARVULLO,PIRAJU,3.22,2018,URBANA,-49.31949997,-23.00469971
38398,IVAN BRASIL,ANOS FINAIS,IVANBRASIL,JACAREI,3.22,2018,URBANA,-46.02433777,-23.41772461
43597,AZARIAS LEITE,ANOS FINAIS,AZARIASLEITE,BAURU,3.22,2018,URBANA,-49.0318985,-22.32299995
45731,VICENTE PAULO ZANCHETTA PROFESSOR,ANOS FINAIS,VICENTEPAULOZANCHETTA,SAO JOAO DA BOA VISTA,3.22,2018,URBANA,-47.11725734,-21.94999434
48811,ELVIRA PARADA MANGA PROFA,ANOS FINAIS,ELVIRAPARADAMANGAA,CAIEIRAS,3.22,2018,URBANA,-46.73720169,-23.31749916
48860,ANTONIO VELASCO ARAGON PADRE,ANOS FINAIS,ANTONIOVELASCOARAGONPAE,GUARULHOS NORTE,3.22,2018,URBANA,-46.49603653,-23.41573906
903012,LUCIA HELENA CESAR PROFESSORA,ANOS FINAIS,LUCIAHELENACESARA,SAO ROQUE,3.22,2018,URBANA,-47.0449,-23.6154
907546,MARIA JUDITA SAVIOLI DE OLIVEIRA,ANOS FINAIS,MARIAJUDITASAVIOLIOLIVEIRA,AMERICANA,3.22,2018,URBANA,-47.37023163,-22.72289085
909166,CARMELINDA MARQUES PEREIRA PROFESSORA,ANOS FINAIS,CARMELINDAMARQUESREIRAA,LESTE 3,3.22,2018,URBANA,-46.42760086,-23.61230087
916584,PARQUE PIRATININGA,ANOS FINAIS,PARQUEPIRATININGA,ITAQUAQUECETUBA,3.22,2018,URBANA,-46.37979889,-23.43860054
918052,BAIRRO PE DA SERRA,ANOS FINAIS,BAIRROSERRA,MIRACATU,3.22,2018,RURAL,-47.51789856,-24.38010025
918672,BAIRRO BOA VISTA,ANOS FINAIS,BAIRROBOAVISTA,ITAPECERICA DA SERRA,3.22,2018,URBANA,-46.84024767,-23.8832002
924192,ROSA MARIA DE SOUZA PROFESSORA,ANOS FINAIS,ROSAMARIASOUZAA,MOGI DAS CRUZES,3.22,2018,URBANA,-45.85691833,-23.52605057
924945,RESIDENCIAL SAO JOSE,ANOS FINAIS,RESIDENCIALSAOJOSE,CAMPINAS OESTE,3.22,2018,URBANA,-47.1623497,-22.96557999
924994,CRISTIANE CHAVES MOREIRA BRAGA PROFESSORA,ANOS FINAIS,CRISTIANECHAVESMOREIRABRAGAA,SUMARE,3.22,2018,URBANA,-47.2071991,-22.8715992
1934,JOAQUIM BRAGA DE PAULA PROFESSOR,ANOS FINAIS,JOAQUIMBRAGAPAULA,LESTE 5,3.21,2018,URBANA,-46.53263092,-23.6015892
14321,NASCIMENTO SATIRO DA SILVA,ANOS FINAIS,NASCIMENTOSATIROSILVA,APIAI,3.21,2018,URBANA,-48.59716017,-24.58757561
23036,MACARIO DE ALMEIDA CONEGO,ANOS FINAIS,MACARIOALMEIDACONEGO,RIBEIRAO PRETO,3.21,2018,URBANA,-47.14975357,-21.09383011
