CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
28022,NARCISO BERTOLINO CAPITAO,ANOS FINAIS,NARCISOBERTOLINO,BARRETOS,8.1,2018,URBANA,-48.91556931,-20.7342205
24909,ANIBAL DO PRADO E SILVA PROF,ANOS FINAIS,ANIBALPRADOSILVA,TAQUARITINGA,7.55,2018,URBANA,-48.49,-21.402
913674,FRANCISCO FERREIRA DE SOUZA PROFESSOR,ANOS FINAIS,FRANCISCOFERREIRASOUZA,MIRANTE DO PARANAPANEMA,7.5,2018,RURAL,-52.38623047,-22.48529053
905811,BAUDILIO BIAGI,ANOS FINAIS,BAUDILIOBIAGI,RIBEIRAO PRETO,7.16,2018,URBANA,-47.80136108,-21.11413956
25094,PEDRO MASCARI,ANOS FINAIS,OMASCARI,TAQUARITINGA,6.94,2018,URBANA,-48.6891,-21.5183
11782,SUETONIO BITTENCOURT JUNIOR PROFESSOR,ANOS FINAIS,SUETONIOBITTENCOURT,SANTOS,6.85,2018,URBANA,-46.30139923,-23.97171974
26700,GIUSEPPE FORMIGONI,ANOS FINAIS,GIUSEPFORMIGONI,CATANDUVA,6.72,2018,URBANA,-48.80245972,-21.24914932
27509,PORFIRIO PIMENTEL,ANOS FINAIS,PORFIRIOPIMENTEL,VOTUPORANGA,6.59,2018,URBANA,-49.96292989,-20.80727296
28290,DOMINGOS DONATO RIVELLI,ANOS FINAIS,INGOSTORIVELLI,JALES,6.53,2018,URBANA,-50.79970169,-20.25419998
23589,SALVADOR GOGLIANO JUNIOR PROF,ANOS FINAIS,SALVADORGOGLIANO,TAQUARITINGA,6.51,2018,URBANA,-48.63031006,-21.17602921
47797,JOSE PEDRO DE MORAES,ANOS FINAIS,JOSEOMORAES,PIRASSUNUNGA,6.48,2018,RURAL,-47.19829941,-22.17449951
45408,ISMENIA MONTEIRO DE OLIVEIRA PROFESSORA,ANOS FINAIS,ISMENIAMONTEIROOLIVEIRAA,PINDAMONHANGABA,6.43,2018,URBANA,-45.44390106,-22.91760063
