CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
923072,ISABEL FERREIRA DA SILVA PROFESSORA BELINHA,ANOS FINAIS,ISABELFERREIRASILVAABELINHA,MOGI DAS CRUZES,2.12,2018,URBANA,-46.20323181,-23.55421066
7237,LANDIA SANTOS BATISTA PROFESSORA,ANOS FINAIS,LANDIASANTOSBATISTAA,SUZANO,2.11,2018,URBANA,-46.36790085,-23.53070068
72503,ELIZABETH APARECIDA SIMOES MESQUITA PROFESSORA,ANOS FINAIS,ELIZABETHAPARECIDASIMOESMESQUITAA,NORTE 1,2.11,2018,URBANA,-46.68598938,-23.46982956
902044,IGNES AMELIA OLIVEIRA MACHADO PROFESSORA,ANOS FINAIS,IGNESAMELIAOLIVEIRAMACHADOA,ITAPEVI,2.11,2018,URBANA,-46.9496994,-23.56220055
912487,JOSE LEME LOPES DOUTOR,ANOS FINAIS,JOSELEMELOS,GUARULHOS NORTE,2.11,2018,URBANA,-46.40518188,-23.36657906
5599,OLINDO DARTORA DR,ANOS FINAIS,OLINDODARTORA,CAIEIRAS,2.1,2018,URBANA,-46.73749924,-23.38299942
25367,EDUARDO VELHO FILHO PROF,ANOS FINAIS,EDUARDOVELHOFILHO,BAURU,2.1,2018,URBANA,-49.06370544,-22.31168175
909191,AURELIO BUARQUE DE HOLANDA FERREIRA PROF,ANOS FINAIS,AURELIOBUARQUEHOLANDAFERREIRA,LESTE 2,2.1,2018,URBANA,-46.40911865,-23.52753067
923278,SILVANA EVANGELISTA PROFESSORA,ANOS FINAIS,SILVANAEVANGELISTAA,LESTE 3,2.1,2018,URBANA,-46.46184158,-23.6310997
12531,JOSE RODRIGUES ALVES SOBRINHO DR,ANOS FINAIS,JOSEROIGUESALVESSOBRINHO,GUARATINGUETA,2.09,2018,URBANA,-44.95878983,-22.56720924
36006,JOAO BATISTA CURADO PROFESSOR,ANOS FINAIS,JOAOBATISTACURADO,JUNDIAI,2.09,2018,URBANA,-46.87020111,-23.17280006
37783,VERIDIANA CAMACHO CARVALHO GOMES PROFA,ANOS FINAIS,IDIANACAMACHOCARVALHOGOMESA,NORTE 2,2.09,2018,URBANA,-46.57300186,-23.47979927
43345,MILTON BORGES YPIRANGA,ANOS FINAIS,MILTONBORGESYPIRANGA,SANTOS,2.09,2018,URBANA,-46.25220108,-23.97410011
121484,WANDER TAFFO MUSICO,ANOS FINAIS,WANDERTAFFOMUSICO,SUL 2,2.09,2018,URBANA,-46.75946045,-23.66415024
47259,ARMANDO DIAS,ANOS FINAIS,ARMANDODIAS,JUNDIAI,2.08,2018,URBANA,-46.8158989,-23.19589996
902810,JOZINEIDE PEREIRA GAUDINO,ANOS FINAIS,JOZINEIDEREIRAGAUDINO,LESTE 4,2.08,2018,URBANA,-46.48509979,-23.5753994
43990,CICERO ANTONIO DE SA RAMALHO PROFESSOR,ANOS FINAIS,CICEROANTONIOSARAMALHO,ITAQUAQUECETUBA,2.06,2018,URBANA,-46.36999893,-23.48999977
2461,JOAO MARIA OGNO OSB DOM,ANOS FINAIS,JOAOMARIAOGNOOSB,LESTE 1,2.05,2018,URBANA,-46.52848816,-23.52515984
30910,PERCIO GOMES GONZALES DR,ANOS FINAIS,RCIOGOMESGONZALES,ADAMANTINA,2.05,2018,URBANA,-51.16816711,-21.61307335
923096,PAULO FREIRE EDUCADOR,ANOS FINAIS,PAULOFREIREEDUCADOR,OSASCO,2.05,2018,URBANA,-46.78358078,-23.50893021
46504,SANTINHO CARNAVALE,ANOS FINAIS,SANTINHOCARNAVALE,MAUA,2.04,2018,URBANA,-46.39374161,-23.71748924
462,AUGUSTO MEIRELLES REIS FILHO PROFESSOR,ANOS FINAIS,AUGUSTOMEIRELLESREISFILHO,CENTRO,2.03,2018,URBANA,-46.65129089,-23.49152946
44573,OSWALDO MOREIRA DA SILVA PROF,ANOS FINAIS,OSWALDOMOREIRASILVA,ASSIS,2.03,2018,URBANA,-50.21583939,-22.77853012
10388,JOSE CHALUPPE,ANOS FINAIS,JOSECHALUP,ITAPEVI,2.02,2018,URBANA,-46.92850113,-23.54109955
432842,ANTONIO CARLOS LEHMAN,ANOS FINAIS,ANTONIOCARLOSLEHMAN,CAMPINAS OESTE,2.02,2018,URBANA,-47.19713974,-22.96608925
901118,ELISEU NARCISO REVERENDO,ANOS FINAIS,ELISEUNARCISOREENDO,CAMPINAS OESTE,2.02,2018,URBANA,-47.12247849,-22.97834969
3530,ALARICO SILVEIRA DOUTOR,ANOS FINAIS,ALARICOSILVEIRA,CENTRO,2.01,2018,URBANA,-46.6554718,-23.52843094
39263,CHIBATA MIYAKOSHI,ANOS FINAIS,CHIBATAMIYAKOSHI,LESTE 4,2.01,2018,URBANA,-46.47829819,-23.59530067
435697,MARIA ISABEL RODRIGUES ORSO PROFA,ANOS FINAIS,MARIAISABELROIGUESORSOA,ARARAQUARA,2,2018,URBANA,-48.15520096,-21.73189926
901921,MARCELO TADEU DE OLIVEIRA CASTRO CAMPOS MARQUES PROFESSOR,ANOS FINAIS,MAROTADEUOLIVEIRACASTROCAMPOSMARQUES,ITAQUAQUECETUBA,2,2018,URBANA,-46.30279922,-23.46459961
6683,GALDINO PINHEIRO FRANCO,ANOS FINAIS,GALDINOPINHEIROFRANCO,MOGI DAS CRUZES,1.99,2018,URBANA,-46.22266006,-23.54210091
561411,JARDIM MARISA,ANOS FINAIS,JARDIMMARISA,CAMPINAS OESTE,1.99,2018,URBANA,-47.1145401,-23.03750038
913625,JADYR GUIMARAES CASTRO PROFA,ANOS FINAIS,JADYRGUIMARAESCASTROA,AMERICANA,1.99,2018,URBANA,-47.38069916,-22.73240089
925697,JARDIM PROGRESSO,ANOS FINAIS,JARDIMGRESSO,RIBEIRAO PRETO,1.99,2018,URBANA,-47.84344482,-21.20465851
8205,RENER CARAM PROFESSOR,ANOS FINAIS,RENERCARAM,SANTO ANDRE,1.98,2018,URBANA,-46.56169128,-23.65187073
920575,CONJUNTO HABITACIONAL EZEQUIEL BARBOSA,ANOS FINAIS,CONJUNTOHABITACIONALEZEQUIELBARBOSA,ARACATUBA,1.98,2018,URBANA,-50.4802,-21.1945
11575,MARCILIO DIAS,ANOS FINAIS,MARCILIODIAS,SANTOS,1.97,2018,URBANA,-46.30120087,-23.93860054
924969,LYDIA ROCHA ALVES PROFA,ANOS FINAIS,LYDIAROCHAALVESA,FRANCA,1.97,2018,URBANA,-47.36880112,-20.59399986
48161,IRACEMA RAUEN MACIEL PROFESSORA,ANOS FINAIS,IRACEMARAUENMACIELA,ITAPEVI,1.96,2018,URBANA,-46.96269989,-23.55360031
901398,ARCHIMEDES BAVA PROFESSOR,ANOS FINAIS,ARCHIMEDESBAVA,SANTOS,1.96,2018,URBANA,-46.05036163,-23.8074894
2239,ALMERINDA RODRIGUES MELLO PROFESSORA,ANOS FINAIS,ALMERINDAROIGUESMELLOA,LESTE 5,1.93,2018,URBANA,-46.53411102,-23.5768795
13201,PEDRO SILVA PROFESSOR,ANOS FINAIS,OSILVA,PINDAMONHANGABA,1.92,2018,URBANA,-45.4143486,-22.9625206
906414,JARDIM SAO LUCAS,ANOS FINAIS,JARDIMSAOLUCAS,SAO ROQUE,1.92,2018,URBANA,-47.0155983,-23.59480095
11447,JACINTO DO AMARAL NARDUCCI PROF,ANOS FINAIS,JACINTOAMARALNARDUCCI,SANTOS,1.91,2018,URBANA,-46.26076889,-23.97960091
900965,FATIMA APARECIDA COSTA FALCON PROFESSORA,ANOS FINAIS,FATIMAAPARECIDACOSTAFALCONA,PRESIDENTE PRUDENTE,1.91,2018,URBANA,-51.4333992,-22.11829948
26116,FERNANDO COSTA,ANOS FINAIS,FERNANDOCOSTA,LINS,1.89,2018,URBANA,-49.7605,-21.674
34836,ITARIRI,ANOS FINAIS,ITARIRI,MIRACATU,1.89,2018,URBANA,-47.17539978,-24.29269981
43771,JULIA DELLA CASA PAULA PROFESSORA,ANOS FINAIS,JULIADELLACASAPAULAA,SUL 1,1.89,2018,URBANA,-46.66202164,-23.68330956
26165,GENOVEVA JUNQUEIRA DONA,ANOS FINAIS,GENOVEVAJUNQUEIRA,LINS,1.88,2018,URBANA,-49.74422073,-21.66986084
921518,JOSE CAMILO DE ANDRADE,ANOS FINAIS,JOSECAMILOANADE,SUZANO,1.88,2018,URBANA,-46.30723953,-23.66402054
