CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
34629,MARIA BARBIERI DE FREITAS DONA,ANOS INICIAIS,MARIABARBIERIFREITAS,TUPA,4.7,2017,URBANA,-50.38764191,-22.0072403
44261,ZORAIDE DE CAMPOS HELU PROFESSORA,ANOS INICIAIS,ZORAIDECAMPOSHELUA,NORTE 1,4.7,2017,URBANA,-46.7887001,-23.45000076
912612,ANTONIO JOSE CAMPOS DE MENEZES PROFESSOR,ANOS INICIAIS,ANTONIOJOSECAMPOSMENEZES,SUZANO,4.7,2017,URBANA,-46.31999969,-23.64520073
3293,THALES CASTANHO DE ANDRADE PROFESSOR,ANOS INICIAIS,THALESCASTANHOANADE,LESTE 1,4.69,2017,URBANA,-46.45449066,-23.54714012
5400,ALFREDO VIANELLO GREGORIO COMENDADOR,ANOS INICIAIS,ALFREDOVIANELLOGREGORIOCOMENDADOR,SUL 2,4.69,2017,URBANA,-46.73104095,-23.66515923
7675,SYLVIO GUERATTO,ANOS INICIAIS,SYLVIOGUERATTO,MAUA,4.69,2017,URBANA,-46.45652008,-23.70352936
39895,BENEDICTA DE SALLES PIMENTEL WUTKE PROFESSORA,ANOS INICIAIS,BENEDICTASALLESPIMENTELWUTKEA,CAMPINAS OESTE,4.69,2017,URBANA,-47.10749817,-23.00028038
41683,OTTO DE BARROS VIDAL PROFESSOR,ANOS INICIAIS,OTTOBARROSVIDAL,NORTE 1,4.69,2017,URBANA,-46.75830078,-23.48089981
901738,LUIZ CINTRA DO PRADO PROFESSOR,ANOS INICIAIS,LUIZCINTRAPRADO,CENTRO OESTE,4.69,2017,URBANA,-46.76869965,-23.59460068
908859,PASCOAL MAIMONI FILHO PROFESSOR,ANOS INICIAIS,PASCOALMAIMONIFILHO,GUARULHOS SUL,4.69,2017,URBANA,-46.41804886,-23.45675087
924726,REGIANE DO CARMO MONTEIRO PROFESSORA,ANOS INICIAIS,REGIANECARMOMONTEIROA,NORTE 1,4.69,2017,URBANA,-46.74047852,-23.40879059
912384,MERCEDES VALENTINA GIANNOCARIO PROFESSORA,ANOS INICIAIS,MERCEDESVALENTINAGIANNOCARIOA,MAUA,4.68,2017,URBANA,-46.44940186,-23.64940071
924696,JARDIM IRENE III,ANOS INICIAIS,JARDIMIRENEIII,SUL 2,4.68,2017,URBANA,-46.78878021,-23.66544914
5964,DULCE BREVES NEVES PROFESSORA,ANOS INICIAIS,DULCEBESNEVESA,GUARULHOS NORTE,4.67,2017,URBANA,-46.52257156,-23.42921066
17673,MARIA DO CARMO DE GODOY RAMOS PROFA,ANOS INICIAIS,MARIACARMOGODOYRAMOSA,MOGI MIRIM,4.67,2017,URBANA,-46.70668128,-22.59299883
47156,EDUARDO BARNABE DEPUTADO,ANOS INICIAIS,EDUARDOBARNABE,CAMPINAS OESTE,4.67,2017,URBANA,-47.13749634,-22.97865271
700,HORACIO LAFER MINISTRO,ANOS INICIAIS,HORACIOLAFER,LESTE 5,4.66,2017,URBANA,-46.58465958,-23.51390076
907881,EXPEDICIONARIOS BRASILEIROS,ANOS INICIAIS,EXDICIONARIOSBRASILEIROS,RIBEIRAO PRETO,4.66,2017,URBANA,-47.76451492,-21.22469521
908782,VALENTIM CARRA PROFESSOR,ANOS INICIAIS,VALENTIMCARRA,LESTE 3,4.66,2017,URBANA,-46.47072983,-23.61684036
920307,MANOEL RODRIGUES PROFESSOR,ANOS INICIAIS,MANOELROIGUES,MAUA,4.66,2017,URBANA,-46.4241,-23.6644
48215,LEOPOLDO LEME VERNECK,ANOS INICIAIS,LEOPOLDOLEMENECK,APIAI,4.65,2017,RURAL,-49.04658127,-24.37199974
80548,BAIRRO DOS BARNABES RECANTO DAS ORQUIDEAS,ANOS INICIAIS,BAIRRODOSBARNABESRECANTODASORQUIDEAS,ITAPECERICA DA SERRA,4.65,2017,URBANA,-47.14452227,-23.98612949
902810,JOZINEIDE PEREIRA GAUDINO,ANOS INICIAIS,JOZINEIDEREIRAGAUDINO,LESTE 4,4.65,2017,URBANA,-46.48509979,-23.5753994
910636,BENEDITO APARECIDO TAVARES PROF,ANOS INICIAIS,BENEDITOAPARECIDOTAVARES,CAIEIRAS,4.65,2017,URBANA,-46.73308945,-23.32576942
9660,ESMERALDA BECKER FREIRE DE CARVALHO PROFESSORA,ANOS INICIAIS,ESMERALDABECKERFREIRECARVALHOA,CARAPICUIBA,4.64,2017,URBANA,-46.83369827,-23.5720005
18478,MILTON DE TOLOSA PROFESSOR,ANOS INICIAIS,MILTONTOLOSA,CAMPINAS OESTE,4.64,2017,URBANA,-47.0611867,-22.92472189
26293,JANDIRA DE MORAES NUNO PROFESSORA,ANOS INICIAIS,JANDIRAMORAESNUNOA,LINS,4.64,2017,URBANA,-49.44266129,-21.58641052
444133,BERNARDO O'HIGGINS DOM,ANOS INICIAIS,BERNARDOO'HIGGINS,LESTE 2,4.64,2017,URBANA,-46.38228989,-23.51292992
924258,PARQUE ECOLOGICO,ANOS INICIAIS,PARQUEECOLOGICO,LESTE 1,4.64,2017,URBANA,-46.47079086,-23.48180962
3943,JACYRA MOYA MARTINS CARVALHO PROFESSORA,ANOS INICIAIS,JACYRAMOYAMARTINSCARVALHOA,CENTRO OESTE,4.63,2017,URBANA,-46.74670029,-23.60359955
46334,LUIS GONZAGA TRAVASSOS DA ROSA,ANOS INICIAIS,LUISGONZAGATRAVASSOSROSA,SUL 1,4.63,2017,URBANA,-46.7325592,-23.63999939
269402,JARDIM ARUJA,ANOS INICIAIS,JARDIMARUJA,GUARULHOS SUL,4.63,2017,URBANA,-46.42039871,-23.46899986
906190,FRANCISCO MIGNONE,ANOS INICIAIS,FRANCISCOMIGNONE,LESTE 4,4.63,2017,URBANA,-46.45280075,-23.58399963
3207,MARIA CECILIA DA SILVA GROHMANN PROFESSORA,ANOS INICIAIS,MARIACECILIASILVAGROHMANNA,LESTE 1,4.62,2017,URBANA,-46.46199036,-23.53968048
14312,DIOGENES RIBEIRO DE LIMA,ANOS INICIAIS,DIOGENESRIBEIROLIMA,APIAI,4.62,2017,URBANA,-49.0064,-24.6575
38179,CARLOS PASQUALE PROFESSOR,ANOS INICIAIS,CARLOSPASQUALE,CENTRO SUL,4.62,2017,URBANA,-46.61669922,-23.62829971
900734,BENEDITO MACIEL ARANTES PROFESSOR,ANOS INICIAIS,BENEDITOMACIELARANTES,RIBEIRAO PRETO,4.62,2017,URBANA,-47.80163956,-21.10766029
916535,ROGER JULES DE CARVALHO MANGE,ANOS INICIAIS,ROGERJULESCARVALHOMANGE,LESTE 2,4.62,2017,URBANA,-46.37350082,-23.50189972
7936,CASSIANO RICARDO,ANOS INICIAIS,CASSIANORICARDO,MAUA,4.61,2017,URBANA,-46.39849854,-23.74749947
24120,EDGARDO CAJADO DOUTOR,ANOS INICIAIS,EDGARDOCAJADO,RIBEIRAO PRETO,4.61,2017,URBANA,-47.8275528,-21.15489388
39779,MARIA CANDIDA DE BARROS ARAUJO PROFESSORA,ANOS INICIAIS,MARIACANDIDABARROSARAUJOA,SOROCABA,4.61,2017,URBANA,-47.49620056,-23.47110939
48781,ULYSSES SANCHES RAMIRES PROF,ANOS INICIAIS,ULYSSESSANCHESRAMIRES,CAIEIRAS,4.61,2017,URBANA,-46.75590134,-23.26569939
904338,MARY MORAES,ANOS INICIAIS,MARYMORAES,SUL 1,4.61,2017,URBANA,-46.74560928,-23.61495972
904348,MARTINHO DA SILVA,ANOS INICIAIS,MARTINHOSILVA,SUL 2,4.61,2017,URBANA,-46.75983047,-23.67425919
906177,CAMILO CASTELO BRANCO,ANOS INICIAIS,CAMILOCASTELOBRANCO,LESTE 3,4.61,2017,URBANA,-46.39461136,-23.60136032
36420,ELYDIA BENETTI PROFESSOA,ANOS INICIAIS,ELYDIABENETTIESSOA,SAO CARLOS,4.6,2017,URBANA,-47.90813065,-22.03212929
37837,LOURDES MARIA DE CAMARGO PROFESSORA,ANOS INICIAIS,LOURDESMARIACAMARGOA,SAO JOSE DOS CAMPOS,4.6,2017,URBANA,-45.89762115,-23.28259087
38866,SYLVIA NOEMIA DE ALBUQUERQUE MARTINS PROFA,ANOS INICIAIS,SYLVIANOEMIAALBUQUERQUEMARTINSA,APIAI,4.6,2017,URBANA,-48.84465027,-24.4952507
46255,CARLOS BORBA PROFESSOR,ANOS INICIAIS,CARLOSBORBA,NORTE 1,4.6,2017,URBANA,-46.72665787,-23.42653847
434292,CRISTINA DE CASTRO PAES PROFESSORA,ANOS INICIAIS,CRISTINACASTROPAESA,LESTE 2,4.6,2017,URBANA,-46.42478178,-23.47516159
900321,JOSE BENEDITO GONCALVES PROF,ANOS INICIAIS,JOSEBENEDITOGONCALVES,ITU,4.6,2017,URBANA,-47.2756,-23.1922
903358,LEONARDO BARBIERI DEPUTADO,ANOS INICIAIS,LEONARDOBARBIERI,ARARAQUARA,4.6,2017,URBANA,-48.14870071,-21.80019951
10259,ANTONIO INACIO MACIEL,ANOS INICIAIS,ANTONIOINACIOMACIEL,TABOAO DA SERRA,4.59,2017,URBANA,-46.76121902,-23.61157036
37369,CESAR MARENGO,ANOS INICIAIS,CESARMARO,LESTE 5,4.59,2017,URBANA,-46.52872849,-23.57900047
48707,FREDERICO MARIANO,ANOS INICIAIS,FREDERICOMARIANO,LESTE 3,4.59,2017,URBANA,-46.41081369,-23.54739231
39469,SERAPHINA RENZI MARTELLO,ANOS INICIAIS,SERAPHINARENZIMARTELLO,GUARULHOS NORTE,4.58,2017,RURAL,-46.42338181,-23.35917091
906955,EDSON LUIZ RIBEIRO LUZIA PROFESSOR,ANOS INICIAIS,EDSONLUIZRIBEIROLUZIA,LESTE 1,4.58,2017,URBANA,-46.44602966,-23.52569008
23978,ALBERTO JOSE GONCALVES DOM,ANOS INICIAIS,ALBERTOJOSEGONCALVES,RIBEIRAO PRETO,4.57,2017,URBANA,-47.7995491,-21.15818977
36778,LUIGI PIRANDELLO,ANOS INICIAIS,LUIGIPIRANDELLO,LESTE 1,4.57,2017,URBANA,-46.46284487,-23.51240181
36997,LUIS GONZAGA CARVALHO MELO PROFESSOR,ANOS INICIAIS,LUISGONZAGACARVALHOMELO,LESTE 1,4.57,2017,URBANA,-46.48965073,-23.51609039
37801,JOAQUIM GOUVEIA FRANCO JUNIOR DEPUTADO,ANOS INICIAIS,JOAQUIMGOUVEIAFRANCO,LESTE 5,4.57,2017,URBANA,-46.53518544,-23.61125071
39780,IZABEL RODRIGUES GALVAO PROFESSORA,ANOS INICIAIS,IZABELROIGUESGALVAOA,SOROCABA,4.57,2017,URBANA,-47.36922741,-23.49779612
906759,GERALDO TRISTAO DE LIMA PROFESSOR,ANOS INICIAIS,GERALDOTRISTAOLIMA,RIBEIRAO PRETO,4.57,2017,URBANA,-47.58547974,-20.90703964
914712,SERGIO ESTANISLAU CAMARGO,ANOS INICIAIS,SERGIOESTANISLAUCAMARGO,LESTE 3,4.57,2017,URBANA,-46.40995026,-23.5448494
13602,EUCLIDES BUENO MIRAGAIA,ANOS INICIAIS,EUCLIDESBUENOMIRAGAIA,SAO JOSE DOS CAMPOS,4.56,2017,URBANA,-45.88809967,-23.18630028
43205,JARDIM SAO FRANCISCO,ANOS INICIAIS,JARDIMSAOFRANCISCO,ASSIS,4.56,2017,URBANA,-50.37799835,-22.74539948
44672,LAERT JOSE TARALLO MENDES PROF,ANOS INICIAIS,LAERTJOSETARALLOMENDES,ARARAQUARA,4.56,2017,URBANA,-48.3658463,-21.5894702
46826,ADELIA CHUCRI NEME,ANOS INICIAIS,ADELIACHUCRINEME,SAO JOSE DOS CAMPOS,4.56,2017,URBANA,-45.86059952,-23.18359947
906189,BERNARDIM RIBEIRO,ANOS INICIAIS,BERNARDIMRIBEIRO,LESTE 3,4.56,2017,URBANA,-46.3972,-23.5651
913765,LUIZ CARLOS GOMES,ANOS INICIAIS,LUIZCARLOSGOMES,BAURU,4.56,2017,URBANA,-49.12519836,-22.32369995
922250,GIANFRANCESCO S B M GUARNIERI,ANOS INICIAIS,GIANFRANCESCOSBMGUARNIERI,CENTRO,4.56,2017,URBANA,-46.62163162,-23.55187988
923540,GIORGIO GAGLIANI CAPUTO PADRE,ANOS INICIAIS,GIORGIOGAGLIANIUTOPAE,LESTE 2,4.56,2017,URBANA,-46.40073013,-23.53792953
3323,RITA PINTO DE ARAUJO PROFESSORA,ANOS INICIAIS,RITAPINTOARAUJOA,LESTE 3,4.55,2017,URBANA,-46.42409897,-23.61940002
48884,ANTONIO GARCIA VEREADOR,ANOS INICIAIS,ANTONIOGARCIA,SUZANO,4.55,2017,URBANA,-46.3144989,-23.49900055
907005,NABIHA ABDALLA CHOHFI,ANOS INICIAIS,NABIHAABDALLACHOHFI,LESTE 1,4.55,2017,URBANA,-46.46248182,-23.5288476
907029,FABIO AGAZZI,ANOS INICIAIS,FABIOAGAZZI,LESTE 3,4.55,2017,URBANA,-46.40095901,-23.55843925
911215,JOAQUIM RODRIGUES FILHO PROFESSOR,ANOS INICIAIS,JOAQUIMROIGUESFILHO,SANTO ANASTACIO,4.55,2017,URBANA,-52.12097168,-21.76354027
919378,RECREIO ALVORADA,ANOS INICIAIS,RECREIOALVORADA,SUMARE,4.55,2017,URBANA,-47.22520065,-22.8409996
2948,PLINIO CAIADO DE CASTRO DR,ANOS INICIAIS,PLINIOCAIADOCASTRO,LESTE 2,4.54,2017,URBANA,-46.41067123,-23.52136993
7602,DELFINO RIBEIRO GUIMARAES,ANOS INICIAIS,DELFINORIBEIROGUIMARAES,MAUA,4.54,2017,URBANA,-46.49143982,-23.65472984
37278,SEBASTIAO VAYEGO DE CARVALHO PROFESSOR,ANOS INICIAIS,SEBASTIAOVAYEGOCARVALHO,MAUA,4.54,2017,URBANA,-46.38290024,-23.74469948
41142,THIMOTEO VAN DEN BROECK FREI,ANOS INICIAIS,THIMOTEOVANDENBROECKFREI,MOGI DAS CRUZES,4.54,2017,URBANA,-46.21279907,-23.55690002
44428,AURELIO CAMPOS DEPUTADO,ANOS INICIAIS,AURELIOCAMPOS,SUL 3,4.54,2017,URBANA,-46.69649887,-23.69300079
900060,EUNICE MARQUES MOURA BASTOS PROFA,ANOS INICIAIS,EUNICEMARQUESMOURABASTOSA,LESTE 2,4.54,2017,URBANA,-46.42552948,-23.51626968
914733,FLAVIO LA SELVA PROFESSOR,ANOS INICIAIS,FLAVIOLASELVA,SUL 2,4.54,2017,URBANA,-46.76583099,-23.69177055
914859,ANDREI SAKHAROV,ANOS INICIAIS,ANEISAKHAROV,CARAPICUIBA,4.54,2017,URBANA,-46.8294,-23.5265
18387,REGINA COUTINHO NOGUEIRA,ANOS INICIAIS,REGINACOUTINHONOGUEIRA,CAMPINAS LESTE,4.53,2017,URBANA,-47.04090118,-22.87129974
37072,JOAQUIM EUGENIO LIMA NETO,ANOS INICIAIS,JOAQUIMEUGENIOLIMANETO,LESTE 2,4.53,2017,URBANA,-46.40242004,-23.54361916
40617,DERVILLE ALLEGRETTI DEPUTADO,ANOS INICIAIS,DERVILLEALLEGRETTI,CARAPICUIBA,4.53,2017,URBANA,-46.82899857,-23.54450035
45603,AMELIA MASSARO PROFA,ANOS INICIAIS,AMELIAMASSAROA,MOGI MIRIM,4.53,2017,URBANA,-46.72510147,-22.63610077
918155,JESUS GUILHERME GIACOMINI,ANOS INICIAIS,JESUSGUILHERMEGIACOMINI,RIBEIRAO PRETO,4.53,2017,URBANA,-47.83691025,-21.20178986
923485,MARIO COVAS JUNIOR GOVERNADOR,ANOS INICIAIS,MARIOCOVASGONADOR,SAO VICENTE,4.53,2017,URBANA,-46.4945,-23.9818
4029,FLAVIA VIZIBELI PIRRO PROFESSORA,ANOS INICIAIS,FLAVIAVIZIBELIPIRROA,CENTRO OESTE,4.52,2017,URBANA,-46.65359879,-23.63870049
9726,MARIO SALES SOUTO ENGENHEIRO,ANOS INICIAIS,MARIOSALESSOUTO,CARAPICUIBA,4.52,2017,URBANA,-46.837,-23.5193
40654,MARIA NELIDA SAMPAIO DE MELLO DONA,ANOS INICIAIS,MARIANELIDASAMPAIOMELLO,TABOAO DA SERRA,4.52,2017,URBANA,-46.85638091,-23.64189099
909051,LOURENCO ZANELATTI,ANOS INICIAIS,LOURENCOZANELATTI,LESTE 4,4.52,2017,URBANA,-46.4822998,-23.59090042
5253,JOAO DE DEUS CARDOSO DE MELLO,ANOS INICIAIS,JOAODEUSCARDOSOMELLO,SUL 2,4.51,2017,URBANA,-46.74832916,-23.68902016
21647,ANTONIO LUCIANO DA FONSECA CORONEL,ANOS INICIAIS,ANTONIOLUCIANOFONSECA,JAU,4.51,2017,URBANA,-48.17324829,-22.43099022
31896,FILOMENA SCATENA CHRISTOFANO,ANOS INICIAIS,FILOMENASCATENACHRISTOFANO,PRESIDENTE PRUDENTE,4.51,2017,URBANA,-51.41460037,-21.95140076
904909,MARIA ISABEL GIUDICE DE ALBUQUERQUE CAVALCANTI PROFA,ANOS INICIAIS,MARIAISABELGIUDICEALBUQUERQUECAVALCANTIA,CAMPINAS OESTE,4.51,2017,URBANA,-47.14483584,-22.89535295
