CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
478416,JARDIM CAMPO LIMPO O,ANOS INICIAIS,JARDIMCAMPOLIMPOO,SUL 1,9.06,2017,URBANA,-46.75370026,-23.62932968
908236,ASTOR VASQUES LOPES PROF,ANOS INICIAIS,ASTORVASQUESLOS,ITAPETININGA,9.06,2017,URBANA,-48.02130127,-23.57789993
25094,PEDRO MASCARI,ANOS INICIAIS,OMASCARI,TAQUARITINGA,8.89,2017,URBANA,-48.6891,-21.5183
28290,DOMINGOS DONATO RIVELLI,ANOS INICIAIS,INGOSTORIVELLI,JALES,8.89,2017,URBANA,-50.79970169,-20.25419998
43631,PORTO PRIMAVERA,ANOS INICIAIS,PORTOPRIMAA,MIRANTE DO PARANAPANEMA,8.82,2017,URBANA,-52.9466815,-22.53756193
924805,LOTEAMENTO DAS GAIVOTAS I,ANOS INICIAIS,LOTEAMENTODASGAIVOTASI,SUL 3,8.54,2017,URBANA,-46.66362,-23.73460007
26839,CARLOS BAROZZI,ANOS INICIAIS,CARLOSBAROZZI,FERNANDOPOLIS,8.52,2017,URBANA,-50.23013306,-20.27645874
24971,NELSON ANTONIO ROMAO PADRE,ANOS INICIAIS,NELSONANTONIOROMAOPAE,ARARAQUARA,8.5,2017,URBANA,-48.35919952,-21.6072998
20898,HONORATO FAUSTINO,ANOS INICIAIS,HONORATOFAUSTINO,PIRACICABA,8.47,2017,URBANA,-47.6397438,-22.71162987
924957,MAGALI VALERIO PROFESSORA,ANOS INICIAIS,MAGALIVALERIOA,CAMPINAS OESTE,8.42,2017,URBANA,-47.13792038,-22.97867966
905756,JOAO SALGADO SOBRINHO DEPUTADO,ANOS INICIAIS,JOAOSALGADOSOBRINHO,ARARAQUARA,8.39,2017,URBANA,-48.37226105,-21.58518982
24636,PAULINO CARLOS CORONEL,ANOS INICIAIS,PAULINOCARLOS,SAO CARLOS,8.34,2017,URBANA,-47.8898,-22.0165
8624,CARLOS GARCIA DOUTOR,ANOS INICIAIS,CARLOSGARCIA,SANTO ANDRE,8.32,2017,URBANA,-46.52946091,-23.62155914
19902,CESAR LACERDA DE VERGUEIRO SENADOR,ANOS INICIAIS,CESARLACERDAGUEIRO,PIRASSUNUNGA,8.29,2017,URBANA,-47.38848114,-22.36628914
24983,TEOFILA PINTO DE CAMARGO PROFA,ANOS INICIAIS,TEOFILAPINTOCAMARGOA,TAQUARITINGA,8.25,2017,URBANA,-48.8179,-21.5954
269360,NELSON GOMES CAETANO PROF,ANOS INICIAIS,NELSONGOMESCAETANO,NORTE 2,8.24,2017,URBANA,-46.57970047,-23.45149994
18512,MALLET MARECHAL,ANOS INICIAIS,MALLETMARECHAL,CAMPINAS LESTE,8.13,2017,URBANA,-47.08789825,-22.88610077
4819,RAUL HUMAITA VILLA NOVA CORONEL,ANOS INICIAIS,RAULHUMAITAVILLANOVA,CENTRO SUL,8.12,2017,URBANA,-46.62291498,-23.5977
22573,ADELIA FRASCINO DONA,ANOS INICIAIS,ADELIAFRASCINO,SERTAOZINHO,8.11,2017,URBANA,-48.11822891,-20.95815341
6359,JOAO RIBEIRO DE BARROS COMANDANTE,ANOS INICIAIS,JOAORIBEIROBARROSCOMANDANTE,GUARULHOS SUL,8.07,2017,URBANA,-46.47417068,-23.44911003
907790,CELSO TOLEDO PROF,ANOS INICIAIS,SOTOLEDO,FRANCA,8.02,2017,URBANA,-47.41469955,-20.51939964
913662,ROMILDA LAZARA PILLON DOS SANTOS PROFESSORA,ANOS INICIAIS,ROMILDALAZARAPILLONDOSSANTOSA,MIRANTE DO PARANAPANEMA,7.98,2017,RURAL,-52.31266022,-22.31339073
27133,FRANCISCO MOLINA MOLINA ESCOLA ESTADUAL,ANOS INICIAIS,FRANCISCOMOLINAMOLINAESCOLAESTADUAL,JALES,7.97,2017,URBANA,-50.68865967,-20.24444008
32943,ZULENKA RAPCHAN PROFESSORA,ANOS INICIAIS,ZULENKARAPCHANA,MIRANTE DO PARANAPANEMA,7.95,2017,URBANA,-51.83480404,-22.21427966
18740,EMILIO JOSE SALIM MONSENHOR DOUTOR,ANOS INICIAIS,EMILIOJOSESALIMMONHOR,CAMPINAS OESTE,7.94,2017,URBANA,-47.05416343,-22.92299844
38155,RUBENS DO AMARAL DEPUTADO,ANOS INICIAIS,RUBENSAMARAL,CENTRO SUL,7.92,2017,URBANA,-46.61711121,-23.61701965
44436,CARLOS CATTONY PROF,ANOS INICIAIS,CARLOSCATTONY,SUL 3,7.92,2017,URBANA,-46.74060059,-23.77375984
47961,IRACEMA RIBEIRO DE FREITAS,ANOS INICIAIS,IRACEMARIBEIROFREITAS,SAO JOSE DOS CAMPOS,7.89,2017,URBANA,-45.82851028,-23.2486496
30466,AUGUSTO PEREIRA DE MORAES,ANOS INICIAIS,AUGUSTOREIRAMORAES,PENAPOLIS,7.88,2017,URBANA,-50.07479858,-21.42383003
919548,ADREANA COMAR PROFA,ANOS INICIAIS,AEANACOMARA,TAQUARITINGA,7.86,2017,URBANA,-48.39524078,-21.51601982
915580,ENEAS CEZAR FERREIRA DOUTOR,ANOS INICIAIS,ENEASCEZARFERREIRA,CAMPINAS OESTE,7.85,2017,URBANA,-47.11769104,-22.98319054
919858,AGROVILA III,ANOS INICIAIS,AGROVILAIII,ITARARE,7.85,2017,RURAL,-49.08213947,-24.0160461
24454,LUIZ AUGUSTO DE OLIVEIRA PROFESSOR,ANOS INICIAIS,LUIZAUGUSTOOLIVEIRA,SAO CARLOS,7.84,2017,URBANA,-47.88354874,-22.01305962
47065,NAIR DE ALMEIDA PROFA,ANOS INICIAIS,NAIRALMEIDAA,MOGI MIRIM,7.82,2017,RURAL,-46.66859818,-22.57092094
18348,ARTUR SEGURADO,ANOS INICIAIS,ARTURSEGURADO,CAMPINAS LESTE,7.8,2017,URBANA,-47.0736,-22.8795
13869,JOSE MARIOTTO FERREIRA MAJOR AVIADOR,ANOS INICIAIS,JOSEMARIOTTOFERREIRAMAJORAVIADOR,SAO JOSE DOS CAMPOS,7.79,2017,URBANA,-45.88159943,-23.20630074
32268,SHIGUETOSHI YOSHIHARA,ANOS INICIAIS,SHIGUETOSHIYOSHIHARA,SANTO ANASTACIO,7.75,2017,URBANA,-51.98004913,-21.57138062
905409,OSCAR ALVES JANEIRO PROFESSOR,ANOS INICIAIS,OSCARALVESJANEIRO,PIRASSUNUNGA,7.74,2017,URBANA,-47.38072968,-22.38278008
913431,ROSSINE CAMARGO GUARNIERI,ANOS INICIAIS,ROSSINECAMARGOGUARNIERI,SUL 3,7.74,2017,URBANA,-46.76210022,-23.80413628
3876,BRASILIO MACHADO,ANOS INICIAIS,BRASILIOMACHADO,CENTRO OESTE,7.71,2017,URBANA,-46.69369888,-23.55649948
21088,JACANA ALTAIR PEREIRA GUERRINI PROFESSORA,ANOS INICIAIS,JACANAALTAIRREIRAGUERRINIA,PIRACICABA,7.69,2017,URBANA,-47.62482071,-22.71851158
24235,SIMAO DA SILVA,ANOS INICIAIS,SIMAOSILVA,RIBEIRAO PRETO,7.69,2017,URBANA,-47.55208969,-21.48027039
41026,JOITI HIRATA,ANOS INICIAIS,JOITIHIRATA,SUL 2,7.68,2017,URBANA,-46.79251099,-23.68704033
914373,NILTON ROBERT PROSPERO PROF,ANOS INICIAIS,NILTONROBERTSRO,TAQUARITINGA,7.65,2017,URBANA,-48.8119,-21.6045
7778,ARISTIDES AUGUSTO FERNANDES DOUTOR,ANOS INICIAIS,ARISTIDESAUGUSTOFERNANDES,MAUA,7.64,2017,URBANA,-46.43529892,-23.66851997
903395,ADALGISA DE SAO JOSE GUALTIERI,ANOS INICIAIS,ADALGISASAOJOSEGUALTIERI,FRANCA,7.64,2017,URBANA,-47.40005669,-20.56282651
4467,GOMES CARDIM PROFESSOR,ANOS INICIAIS,GOMESCARDIM,CENTRO SUL,7.62,2017,URBANA,-46.62498093,-23.57714081
8618,JOAQUIM DA FONSECA SARAIVA,ANOS INICIAIS,JOAQUIMFONSECASARAIVA,SANTO ANDRE,7.62,2017,URBANA,-46.5282091,-23.6339736
17632,VICENTE RIZZO DR,ANOS INICIAIS,VICENTERIZZO,MOGI MIRIM,7.58,2017,URBANA,-46.61610031,-22.47509956
905537,NANCY DE REZENDE ZAMARIAN PROFESSORA,ANOS INICIAIS,NANCYREZENDEZAMARIANA,SAO JOAO DA BOA VISTA,7.58,2017,URBANA,-47.00561142,-21.45928001
900795,JOAO JORGE MARMORATO PROFESSOR,ANOS INICIAIS,JOAOJORGEMARMORATO,SAO CARLOS,7.53,2017,URBANA,-47.86994171,-22.03141022
24843,MANOEL SILVEIRA BUENO,ANOS INICIAIS,MANOELSILVEIRABUENO,TAQUARITINGA,7.52,2017,URBANA,-49.07705017,-21.62481956
7420,SERGIO BUARQUE DE HOLANDA,ANOS INICIAIS,SERGIOBUARQUEHOLANDA,DIADEMA,7.5,2017,URBANA,-46.61270142,-23.68779945
901106,JOAQUIM PEDROSO SARGENTO,ANOS INICIAIS,JOAQUIMOSOSARGENTO,CAMPINAS OESTE,7.47,2017,URBANA,-47.14110184,-22.97635078
27546,JOSE FLORENCIO DO AMARAL,ANOS INICIAIS,JOSEFLORENCIOAMARAL,VOTUPORANGA,7.46,2017,URBANA,-50.08992004,-20.84991074
22779,CAETANO PETRAGLIA,ANOS INICIAIS,CAETANOTRAGLIA,FRANCA,7.43,2017,URBANA,-47.39181137,-20.52972031
917151,FERNANDO BARBOSA PROF,ANOS INICIAIS,FERNANDOBARBOSA,MOGI MIRIM,7.42,2017,URBANA,-46.7657,-22.7178
2082,BLANCA ZWICKER SIMOES PROFESSORA,ANOS INICIAIS,BLANCAZWICKERSIMOESA,LESTE 5,7.41,2017,URBANA,-46.56600189,-23.55594063
909646,ANTONIA BINATO SILVA VO NINA,ANOS INICIAIS,ANTONIABINATOSILVAVONINA,MIRANTE DO PARANAPANEMA,7.4,2017,RURAL,-52.5191803,-22.35346031
25513,JOAQUIM DE MICHIELI PROF,ANOS INICIAIS,JOAQUIMMICHIELI,BAURU,7.38,2017,URBANA,-49.04370117,-22.3227005
297380,ASSENTAMENTO SANTA ZELIA,ANOS INICIAIS,ASTAMENTOSANTAZELIA,MIRANTE DO PARANAPANEMA,7.36,2017,RURAL,-52.42435074,-22.37401009
25461,SILVERIO SAO JOAO PROF,ANOS INICIAIS,SILIOSAOJOAO,BAURU,7.35,2017,URBANA,-49.06330109,-22.33390045
919470,SEBASTIAO FRANCISCO FERRAZ DE ARRUDA PROF,ANOS INICIAIS,SEBASTIAOFRANCISCOFERRAZARRUDA,TAQUARITINGA,7.34,2017,URBANA,-48.81552887,-21.61541939
2021,IRENE RIBEIRO PROFESSORA,ANOS INICIAIS,IRENERIBEIROA,LESTE 5,7.33,2017,URBANA,-46.52236176,-23.55487061
42900,JULIO ASCANIO MALLET PROF,ANOS INICIAIS,JULIOASCANIOMALLET,TAQUARITINGA,7.33,2017,URBANA,-48.81090164,-21.59620094
904260,FELICIA DE RINALDIS FRANCO,ANOS INICIAIS,FELICIARINALDISFRANCO,NORTE 1,7.31,2017,URBANA,-46.71590042,-23.46069908
44416,SAVERIO FITTIPALDI,ANOS INICIAIS,SAIOFITTIPALDI,SUL 3,7.3,2017,URBANA,-46.67660141,-23.76860046
3360,ALFREDO PAULINO,ANOS INICIAIS,ALFREDOPAULINO,CENTRO OESTE,7.29,2017,URBANA,-46.70912933,-23.53507996
45676,ORLANDO SIGNORELLI,ANOS INICIAIS,ORLANDOSIGNORELLI,CAMPINAS OESTE,7.29,2017,URBANA,-47.13160435,-22.97819959
863,JOSE MARCELINO DA FONSECA MAJOR,ANOS INICIAIS,JOSEMARINOFONSECAMAJOR,NORTE 2,7.28,2017,URBANA,-46.62895966,-23.47079086
37588,CANDIDO DE OLIVEIRA PROF,ANOS INICIAIS,CANDIDOOLIVEIRA,SUL 3,7.28,2017,URBANA,-46.73501994,-23.80700246
38465,JOAO PAULINO DE FARIA JUNIOR PROFESSOR,ANOS INICIAIS,JOAOPAULINOFARIA,MAUA,7.27,2017,URBANA,-46.47309875,-23.66860008
45706,JOAO FIORELLO REGINATO PROFESSOR,ANOS INICIAIS,JOAOFIORELLOREGINATO,CAMPINAS OESTE,7.27,2017,URBANA,-47.1534337,-22.86964551
903814,ARIOSTO RIBEIRO PERSICANO PROF,ANOS INICIAIS,ARIOSTORIBEIRORSICANO,MOGI MIRIM,7.27,2017,RURAL,-46.81948853,-22.63431931
920459,ELIDIA TEDESCO DE OLIVEIRA PROFESSORA,ANOS INICIAIS,ELIDIATEDESCOOLIVEIRAA,SAO JOSE DOS CAMPOS,7.27,2017,URBANA,-45.77790833,-23.14328003
43965,ELISIARIO MARTINS DE MELLO PROF,ANOS INICIAIS,ELISIARIOMARTINSMELLO,ITAPETININGA,7.26,2017,URBANA,-48.0752,-23.5835
915737,VICTOR CIVITA,ANOS INICIAIS,VICTORCIVITA,GUARULHOS SUL,7.26,2017,URBANA,-46.47565079,-23.45265961
25069,LUCY SALINA FERNANDES GAION PROFA,ANOS INICIAIS,LUCYSALINAFERNANDESGAIONA,TAQUARITINGA,7.25,2017,URBANA,-48.83636475,-21.75238419
41191,RODRIGO SOARES JUNIOR JORNALISTA,ANOS INICIAIS,ROIGOSOARESJORNALISTA,DIADEMA,7.25,2017,URBANA,-46.5929985,-23.6868
42648,VITORIO JOSE ANTONIO ZAMARION PROFESSOR,ANOS INICIAIS,VITORIOJOSEANTONIOZAMARION,CAMPINAS LESTE,7.25,2017,URBANA,-47.0951004,-22.91230011
33662,BENTO DE ABREU SAMPAIO VIDAL,ANOS INICIAIS,BENTOABREUSAMPAIOVIDAL,MARILIA,7.24,2017,URBANA,-49.93470764,-22.21069145
590,PAULO SETUBAL,ANOS INICIAIS,PAULOSETUBAL,CENTRO,7.23,2017,URBANA,-46.67535019,-23.48938942
