CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
191917,MARILSA GARBOSSA FRANCISCO PROFESSORA,ANOS INICIAIS,MARILSAGARBOSSAFRANCISCOA,SUL 2,4.1,2018,URBANA,-46.74155045,-23.6615696
577066,JARDIM OURO PRETO,ANOS INICIAIS,JARDIMOUROPRETO,CAMPINAS OESTE,4.1,2018,URBANA,-47.13455312,-22.95508699
5236,MARIA PECCIOLI GIANNASI PROFESSORA,ANOS INICIAIS,MARIACCIOLIGIANNASIA,SUL 2,4.09,2018,URBANA,-46.75188828,-23.6805191
48719,CICERO CANUTO DE LIMA PASTOR,ANOS INICIAIS,CICEROCANUTOLIMA,SUL 2,4.09,2018,URBANA,-46.77772903,-23.68806076
920997,JESUS JOSE ATTAB PROFESSOR,ANOS INICIAIS,JESUSJOSEATTAB,SUL 3,4.09,2018,URBANA,-46.7215004,-23.7887001
4881,EDMEA ATTAB PROFESSORA,ANOS INICIAIS,EDMEAATTABA,SUL 1,4.08,2018,URBANA,-46.63919067,-23.67316055
908368,OSWALDO GAGLIARDI,ANOS INICIAIS,OSWALDOGAGLIARDI,LESTE 3,4.08,2018,URBANA,-46.39456177,-23.57240677
436012,CLAUDIA FRANCISCO DA SILVA,ANOS INICIAIS,CLAUDIAFRANCISCOSILVA,CAMPINAS OESTE,4.07,2018,URBANA,-47.10131073,-22.98513985
904879,GIL VICENTE,ANOS INICIAIS,GILVICENTE,SUL 2,4.06,2018,URBANA,-46.78015137,-23.71525002
914733,FLAVIO LA SELVA PROFESSOR,ANOS INICIAIS,FLAVIOLASELVA,SUL 2,4.06,2018,URBANA,-46.76583099,-23.69177055
902664,ROSA PAVONE PIMONT DOUTORA,ANOS INICIAIS,ROSAPAVONEPIMONTA,SUL 2,4.04,2018,URBANA,-46.76026149,-23.68210622
907376,ALVARO COTOMACCI PROFESSOR,ANOS INICIAIS,ALVAROCOTOMACCI,CAMPINAS OESTE,4.04,2018,URBANA,-47.17945099,-22.95005989
925986,JARDIM NOVA CUMBICA II,ANOS INICIAIS,JARDIMNOVACUMBICAII,GUARULHOS SUL,4.04,2018,URBANA,-46.46556091,-23.45940971
39251,CARLOS HENRIQUE LIBERALLI PROFESSOR,ANOS INICIAIS,CARLOSHENRIQUELIBERALLI,LESTE 3,4.03,2018,URBANA,-46.4473773,-23.6255264
14424,AMBROSINA DE OLIVEIRA MATTOS PROFA,ANOS INICIAIS,AMBROSINAOLIVEIRAMATTOSA,APIAI,4.02,2018,URBANA,-48.85232925,-24.42828941
1348,JOSE DO AMARAL MELLO PROF,ANOS INICIAIS,JOSEAMARALMELLO,NORTE 2,4.01,2018,URBANA,-46.57320023,-23.45159912
904788,MARINHA FERREIRA DO NASCIMENTO PROFESSORA,ANOS INICIAIS,MARINHAFERREIRANASCIMENTOA,GUARULHOS SUL,4,2018,URBANA,-46.42499924,-23.46497917
923515,MIGUEL HIDALGO,ANOS INICIAIS,MIGUELHIDALGO,LESTE 2,4,2018,URBANA,-46.41841888,-23.53764915
42882,ROMUALDO MONTEIRO DE BARROS PROFESSOR,ANOS INICIAIS,ROMUALDOMONTEIROBARROS,RIBEIRAO PRETO,3.99,2018,URBANA,-47.7968483,-21.14480972
41798,ERODICE PONTES DE QUEIROZ REV,ANOS INICIAIS,ERODICEPONTESQUEIROZ,SUL 3,3.98,2018,URBANA,-46.71469879,-23.78520012
43266,APARECIDA LOPES RAMOS PROFA,ANOS INICIAIS,APARECIDALOSRAMOSA,MARILIA,3.98,2018,URBANA,-50.09379959,-22.15250015
1089,GABRIELA MISTRAL,ANOS INICIAIS,GABRIELAMISTRAL,NORTE 2,3.97,2018,URBANA,-46.5623703,-23.47837067
8424,NELSON PIZZOTTI MENDES PROFESSOR,ANOS INICIAIS,NELSONPIZZOTTIMENDES,SANTO ANDRE,3.97,2018,URBANA,-46.49472809,-23.69332314
457243,MORRO DOCE,ANOS INICIAIS,MORRODOCE,NORTE 1,3.97,2018,URBANA,-46.79166031,-23.43808937
925073,JARDIM SANTA LIDIA,ANOS INICIAIS,JARDIMSANTALIDIA,GUARULHOS NORTE,3.97,2018,URBANA,-46.49380112,-23.41900063
41506,ABELARDO CESAR DOUTOR,ANOS INICIAIS,ABELARDOCESAR,SAO JOAO DA BOA VISTA,3.96,2018,URBANA,-46.76060104,-22.20140076
41786,JOSEPHINA CINTRA DAMIAO PROFESSORA,ANOS INICIAIS,JOSEPHINACINTRADAMIAOA,SUL 2,3.96,2018,URBANA,-46.79233932,-23.70952034
906300,EUCLIDES IGESCA,ANOS INICIAIS,EUCLIDESIGESCA,SUZANO,3.96,2018,URBANA,-46.33008957,-23.63348961
915701,BRENO DI GRADO PROF,ANOS INICIAIS,BRENOGRADO,LESTE 2,3.96,2018,URBANA,-46.3874588,-23.52120972
902305,EUGENIO MARIZ DE OLIVEIRA NETTO,ANOS INICIAIS,EUGENIOMARIZOLIVEIRANETTO,SUL 2,3.95,2018,URBANA,-46.74206924,-23.69297791
919822,MARIA DE LOURDES BARREIROS CARVALHO PROFA,ANOS INICIAIS,MARIALOURDESBARREIROSCARVALHOA,ITAPETININGA,3.95,2018,URBANA,-48.01530075,-23.56514931
