CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
24,GAVIAO PEIXOTO BRIGADEIRO,ENSINO MEDIO,GAVIAOIXOTO,NORTE 1,1.19,2017,URBANA,-46.75939941,-23.40469933
1348,JOSE DO AMARAL MELLO PROF,ENSINO MEDIO,JOSEAMARALMELLO,NORTE 2,1.19,2017,URBANA,-46.57320023,-23.45159912
10674,ELOI LACERDA PROF,ENSINO MEDIO,ELOILACERDA,OSASCO,1.19,2017,URBANA,-46.79216003,-23.51951027
11113,FRANCISCO CASABONA PROFESSOR,ENSINO MEDIO,FRANCISCOCASABONA,OSASCO,1.19,2017,URBANA,-46.77048111,-23.51827049
11915,BARTOLOMEU DE GUSMAO PADRE,ENSINO MEDIO,BARTOLOMEUGUSMAOPAE,SANTOS,1.19,2017,URBANA,-46.3544,-23.9342
33510,RAFAEL PAES DE BARROS DOUTOR,ENSINO MEDIO,RAFAELPAESBARROS,MARILIA,1.19,2017,URBANA,-49.71969986,-22.08060074
37461,MESSIAS FREIRE PROFESSOR,ENSINO MEDIO,MESSIASFREIRE,SUL 1,1.19,2017,URBANA,-46.77576065,-23.64352036
50428,KATIA MARIA TARIFA LEME TONELLI PROFA,ENSINO MEDIO,KATIAMARIATARIFALEMETONELLIA,CAIEIRAS,1.19,2017,URBANA,-46.7137413,-23.31979942
433482,JARDIM PEDRA BRANCA,ENSINO MEDIO,JARDIMABRANCA,LESTE 3,1.19,2017,URBANA,-46.41970062,-23.58209991
910181,MARIO MARTINS PEREIRA,ENSINO MEDIO,MARIOMARTINSREIRA,ITAQUAQUECETUBA,1.19,2017,URBANA,-46.28900146,-23.47380066
916535,ROGER JULES DE CARVALHO MANGE,ENSINO MEDIO,ROGERJULESCARVALHOMANGE,LESTE 2,1.19,2017,URBANA,-46.37350082,-23.50189972
916648,JOAO BASTOS SOARES,ENSINO MEDIO,JOAOBASTOSSOARES,GUARATINGUETA,1.19,2017,URBANA,-46.38973688,-23.54608894
916754,PEDRO GERALDO COSTA DEPUTADO,ENSINO MEDIO,OGERALDOCOSTA,LESTE 2,1.19,2017,URBANA,-46.40008163,-23.57440948
922912,COHAB INACIO MONTEIRO III,ENSINO MEDIO,COHABINACIOMONTEIROIII,LESTE 3,1.19,2017,URBANA,-46.42158127,-23.49057007
907157,CAETANO ZAMITTI MAMMANA PROF,ENSINO MEDIO,CAETANOZAMITTIMAMMANA,LESTE 2,1.18,2017,URBANA,-47.3748,-21.9492
907510,RENE ALBERS PROFESSOR DOUTOR,ENSINO MEDIO,RENEALBERS,PIRASSUNUNGA,1.18,2017,URBANA,-49.58959961,-21.89410019
26402,JOSE EGEA PROF,ENSINO MEDIO,JOSEEGEA,LINS,1.17,2017,URBANA,-46.70840073,-23.72909927
35661,PERILLIER MADEMOISELLE,ENSINO MEDIO,RILLIERMADEMOISELLE,SUL 3,1.17,2017,URBANA,-46.68611145,-24.1257
36110,AGENOR DE CAMPOS,ENSINO MEDIO,AGENORCAMPOS,SAO VICENTE,1.17,2017,URBANA,-47.79278946,-21.11124039
44660,DOMINGOS JOAO BAPTISTA SPINELLI PROFESSOR DOUTOR,ENSINO MEDIO,INGOSJOAOBAPTISTASPINELLI,RIBEIRAO PRETO,1.17,2017,URBANA,-46.43238068,-23.91930962
474873,WALDOMIRO MARIANI PROFESSOR,ENSINO MEDIO,WALIROMARIANI,SANTOS,1.17,2017,URBANA,-46.73826981,-23.67977905
5241,PAULO OCTAVIO DE AZEVEDO PROFESSOR,ENSINO MEDIO,PAULOOCTAVIOAZEVEDO,SUL 2,1.16,2017,URBANA,-46.6534,-23.4557
911537,DILSON FUNARO MINISTRO,ENSINO MEDIO,DILSONFUNARO,NORTE 2,1.16,2017,URBANA,-47.10770035,-22.85320091
18533,31 DE MARCO,ENSINO MEDIO,31MARCO,CAMPINAS LESTE,1.15,2017,URBANA,-46.7408,-23.385
41836,ISAURA VALENTINI HANSER PROFA,ENSINO MEDIO,ISAURAVALENTINIHANSERA,CAIEIRAS,1.15,2017,URBANA,-46.45830154,-23.48419952
283903,PAULO KOBAYASHI,ENSINO MEDIO,PAULOKOBAYASHI,LESTE 2,1.15,2017,URBANA,-46.42729187,-23.61660004
902615,ANTONIETA DE SOUZA ALCANTARA,ENSINO MEDIO,ANTONIETASOUZAALCANTARA,LESTE 3,1.15,2017,URBANA,-46.38848114,-23.51872826
924829,JOAO DORIA DEPUTADO,ENSINO MEDIO,JOAODORIA,LESTE 2,1.15,2017,URBANA,-46.4368,-23.3996
925561,IDALINA LADEIRA FERREIRA PROFESSORA,ENSINO MEDIO,IDALINALADEIRAFERREIRAA,GUARULHOS NORTE,1.15,2017,URBANA,-46.49454117,-23.74233055
8369,JOAO BAPTISTA MARIGO MARTINS,ENSINO MEDIO,JOAOBAPTISTAMARIGOMARTINS,SANTO ANDRE,1.14,2017,URBANA,-46.93719864,-23.61949921
48136,KENKITI SIMOMOTO,ENSINO MEDIO,KENKITISIMOMOTO,CARAPICUIBA,1.14,2017,URBANA,-45.72663879,-23.07078934
566846,PROFESSORA LUCIANA DAMAS BEZERRA,ENSINO MEDIO,ALUCIANADAMASBEZERRA,TAUBATE,1.14,2017,URBANA,-47.12247849,-22.97834969
901118,ELISEU NARCISO REVERENDO,ENSINO MEDIO,ELISEUNARCISOREENDO,CAMPINAS OESTE,1.14,2017,URBANA,-46.6715,-23.4577
906141,ASSIS JOSE AMBROSIO,ENSINO MEDIO,ASSISJOSEAMBROSIO,NORTE 2,1.14,2017,URBANA,-46.4978981,-23.70980072
916985,EDEVALDO PERASSI PROFESSOR,ENSINO MEDIO,EDEVALDORASSI,SANTO ANDRE,1.14,2017,URBANA,-49.09180069,-22.30190086
901003,ANTONIO FERREIRA DE MENEZES VEREADOR,ENSINO MEDIO,ANTONIOFERREIRAMENEZES,BAURU,1.13,2017,URBANA,-48.45631409,-22.91212845
917312,FRANCISCO GUEDELHA PROF,ENSINO MEDIO,FRANCISCOGUEDELHA,BOTUCATU,1.13,2017,URBANA,-46.49644852,-23.4841404
924374,ANNETTE MARLENE FERNANDES DE MELLO IRMA,ENSINO MEDIO,ANNETTEMARLENEFERNANDESMELLO,LESTE 1,1.13,2017,URBANA,-46.70983124,-23.4491291
924738,ANILZA PIOLI PROFESSORA,ENSINO MEDIO,ANILZAPIOLIA,NORTE 1,1.13,2017,URBANA,-46.4693922,-23.5224683
911008,URBANO DE OLIVEIRA PINTO REV,ENSINO MEDIO,URBANOOLIVEIRAPINTO,LESTE 1,1.12,2017,URBANA,-46.786129,-23.64388084
5095,HUGO LACORTE VITALE DEPUTADO,ENSINO MEDIO,HUGOLACORTEVITALE,SUL 1,1.11,2017,URBANA,-51.90834045,-22.28453064
32918,MARIA APARECIDA DE AZEREDO PASSOS,ENSINO MEDIO,MARIAAPARECIDAAZEREDOPASSOS,MIRANTE DO PARANAPANEMA,1.11,2017,URBANA,-46.43880844,-23.51457024
40332,ARLINDO PINTO DA SILVA PROF,ENSINO MEDIO,ARLINDOPINTOSILVA,LESTE 2,1.11,2017,URBANA,-47.1620903,-22.94104958
901131,NEWTON OPPERMANN DOUTOR,ENSINO MEDIO,NEWTONOPRMANN,CAMPINAS OESTE,1.11,2017,URBANA,-46.8266,-23.5615
919068,ANTONIO DE OLIVEIRA GODINHO PADRE,ENSINO MEDIO,ANTONIOOLIVEIRAGODINHOPAE,CARAPICUIBA,1.11,2017,URBANA,-45.0511,-22.70271237
13134,ALICE VILELA GALVAO PROFA,ENSINO MEDIO,ALICEVILELAGALVAOA,GUARATINGUETA,1.1,2017,URBANA,-48.80329895,-22.59950066
25938,PAULO ZILLO DR,ENSINO MEDIO,PAULOZILLO,BAURU,1.1,2017,URBANA,-46.29948044,-23.95042038
42146,WALDEMAR DA SILVA RIGOTTO PROFESSOR,ENSINO MEDIO,WALDEMARSILVARIGOTTO,SANTOS,1.1,2017,URBANA,-49.02336121,-22.32972527
49645,FRANCISCO ALVES BRIZOLA PROF,ENSINO MEDIO,FRANCISCOALVESBRIZOLA,BAURU,1.1,2017,URBANA,-46.41359711,-23.49987411
44301,ADOLPHO PLUSKAT PROF,ENSINO MEDIO,ADOLPHOPLUSKAT,LESTE 2,1.09,2017,URBANA,-46.55519867,-23.47570038
6048,ARY GOMES CORONEL,ENSINO MEDIO,ARYGOMES,GUARULHOS SUL,1.08,2017,URBANA,-47.82329941,-21.14182091
49612,WALTER PAIVA PROFESSOR,ENSINO MEDIO,WALTERPAIVA,RIBEIRAO PRETO,1.08,2017,URBANA,-46.42039871,-23.40889931
925044,PONTE ALTA V,ENSINO MEDIO,PONTEALTAV,GUARULHOS NORTE,1.08,2017,URBANA,-46.37139511,-23.55624199
925652,JARDIM SAO PAULO II,ENSINO MEDIO,JARDIMSAOPAULOII,SUZANO,1.08,2017,URBANA,-47.0141,-21.4665
19012,JUSTINO GOMES DE CASTRO MAESTRO,ENSINO MEDIO,JUSTINOGOMESCASTROMAESTRO,SAO JOAO DA BOA VISTA,1.07,2017,URBANA,-45.95830154,-23.30240059
13687,FRANCISCO GOMES DA SILVA PRADO DR,ENSINO MEDIO,FRANCISCOGOMESSILVAPRADO,JACAREI,1.06,2017,URBANA,-46.51340103,-23.4048996
925068,RECREIO SAO JORGE II,ENSINO MEDIO,RECREIOSAOJORGEII,GUARULHOS NORTE,1.06,2017,URBANA,-46.48360062,-23.69879913
7648,MARILENE DE OLIVEIRA ACETTO PROFESSORA,ENSINO MEDIO,MARILENEOLIVEIRAACETTOA,MAUA,1.04,2017,URBANA,-49.73767853,-22.21227074
33443,NORMA MONICO TRUZZI PROFA,ENSINO MEDIO,NORMAMONICOTRUZZIA,MARILIA,1.04,2017,URBANA,-48.80940628,-22.5833149
38064,RUBENS PIETRAROIA,ENSINO MEDIO,RUBENSPIETRAROIA,BAURU,1.04,2017,URBANA,-46.5011832,-23.7004044
925640,CELSO AUGUSTO DANIEL PREFEITO ENGENHEIRO,ENSINO MEDIO,SOAUGUSTODANIEL,SANTO ANDRE,1.04,2017,URBANA,-46.3187,-23.4955
921087,JACQUES YVES COUSTEAU COMANDANTE,ENSINO MEDIO,JACQUESYVESCOUSTEAUCOMANDANTE,SUZANO,1.03,2017,URBANA,-46.78953934,-23.73587036
36705,HONORIO MONTEIRO DOUTOR,ENSINO MEDIO,HONORIOMONTEIRO,SUL 2,1.02,2017,URBANA,-46.58580017,-23.48760033
37795,JUSTINO CARDOSO DR,ENSINO MEDIO,JUSTINOCARDOSO,NORTE 2,1.02,2017,URBANA,-47.07320023,-22.91799927
42626,SEBASTIAO RAMOS NOGUEIRA PROFESSOR,ENSINO MEDIO,SEBASTIAORAMOSNOGUEIRA,CAMPINAS LESTE,1.02,2017,URBANA,-46.46640015,-23.40340042
46413,MAURICIO NAZAR PROFESSOR,ENSINO MEDIO,MAURICIONAZAR,GUARULHOS NORTE,1.02,2017,URBANA,-50.31753055,-21.24865066
