CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
16718,ARISTEU VASCONCELLOS LEITE,ENSINO MEDIO,ARISTEUVASCONLOSLEITE,BOTUCATU,2.45,2018,URBANA,-47.95830917,-23.2252903
16809,DANIEL VERANO PROFESSOR,ENSINO MEDIO,DANIELANO,VOTORANTIM,2.45,2018,URBANA,-47.45349884,-23.54482079
19161,BARAO DE MONTE SANTO,ENSINO MEDIO,MONTESANTO,SAO JOAO DA BOA VISTA,2.45,2018,URBANA,-47.00460052,-21.46929932
20618,ERNANI CALBUCCI PROF,ENSINO MEDIO,ERNANICALBUCCI,MOGI MIRIM,2.45,2018,URBANA,-46.9568,-22.4188
34502,ALTINO ARANTES PROFESSOR,ENSINO MEDIO,ALTINOARANTES,TUPA,2.45,2018,URBANA,-50.30419159,-22.06912041
43862,REPUBLICA DA COSTA RICA,ENSINO MEDIO,REPUBLICACOSTARICA,CARAPICUIBA,2.45,2018,URBANA,-47.04777145,-23.66120911
49141,TANCREDO NEVES PRESIDENTE,ENSINO MEDIO,TANCREDONEVES,SANTOS,2.45,2018,URBANA,-46.27220154,-23.98570061
49906,SILVANIA APARECIDA SANTOS PROFA,ENSINO MEDIO,SILVANIAAPARECIDASANTOSA,AMERICANA,2.45,2018,URBANA,-47.28279271,-22.7758975
902020,LUIS DOS SANTOS METALURGICO,ENSINO MEDIO,LUISDOSSANTOSMETALURGICO,SAO BERNARDO DO CAMPO,2.45,2018,URBANA,-46.52799988,-23.74139977
908162,JURACI LIMA LUPO PROFA,ENSINO MEDIO,JURACILIMALUPOA,VOTUPORANGA,2.45,2018,URBANA,-49.96976089,-20.39662933
909075,WILFREDO PINHEIRO PROF,ENSINO MEDIO,WILFREDOPINHEIRO,LESTE 4,2.45,2018,URBANA,-46.4578,-23.6105
913923,PAULO LUIZ DECOURT PROFESSOR,ENSINO MEDIO,PAULOLUIZDECOURT,CAMPINAS OESTE,2.45,2018,URBANA,-47.03038752,-22.94842195
925317,CONDOMINIO CARIOBA RECANTO MARISA,ENSINO MEDIO,CONINIOCARIOBARECANTOMARISA,SUL 3,2.45,2018,URBANA,-46.66447449,-23.75305176
2264,OSWALDO CATALANO,ENSINO MEDIO,OSWALDOCATALANO,LESTE 5,2.44,2018,URBANA,-46.57949829,-23.53829956
2331,PILAR GARCIA VIDAL DONA,ENSINO MEDIO,PILARGARCIAVIDAL,LESTE 4,2.44,2018,URBANA,-46.49860001,-23.5848999
3037,ATAULPHO ALVES,ENSINO MEDIO,ATAULPHOALVES,LESTE 2,2.44,2018,URBANA,-46.43544006,-23.5025692
4674,HELOISA CARNEIRO PROFESSORA,ENSINO MEDIO,HELOISACARNEIROA,SUL 1,2.44,2018,URBANA,-46.65845871,-23.6602993
6567,GABRIELA FREIRE LOBO PROFA,ENSINO MEDIO,GABRIELAFREIRELOBOA,JACAREI,2.44,2018,URBANA,-46.22969818,-23.32060051
14072,QUEIROZ CORONEL,ENSINO MEDIO,QUEIROZ,TAUBATE,2.44,2018,URBANA,-45.53527069,-23.28138924
18302,CARLOS GOMES,ENSINO MEDIO,CARLOSGOMES,CAMPINAS LESTE,2.44,2018,URBANA,-47.05733871,-22.90210915
19495,NATHANAEL SILVA PROFESSOR,ENSINO MEDIO,NATHANAELSILVA,JUNDIAI,2.44,2018,URBANA,-46.84469986,-23.21019936
20588,JOAQUIM JOSE CORONEL,ENSINO MEDIO,JOAQUIMJOSE,SAO JOAO DA BOA VISTA,2.44,2018,URBANA,-46.79779816,-21.97100067
25045,VICTOR MAIDA,ENSINO MEDIO,VICTORMAIDA,TAQUARITINGA,2.44,2018,URBANA,-48.82659912,-21.75469971
33327,DIVA FIGUEIREDO DA SILVEIRA,ENSINO MEDIO,DIVAFIGUEIREDOSILVEIRA,ASSIS,2.44,2018,URBANA,-50.57989883,-22.42040062
33479,ERMELINDA CLARICE SANCHES PROFA,ENSINO MEDIO,ERMELINDACLARICESANCHESA,MARILIA,2.44,2018,URBANA,-49.92039108,-22.43767929
38544,SALOMAO JORGE DEPUTADO,ENSINO MEDIO,SALOMAOJORGE,CARAPICUIBA,2.44,2018,URBANA,-46.85129929,-23.53540039
39895,BENEDICTA DE SALLES PIMENTEL WUTKE PROFESSORA,ENSINO MEDIO,BENEDICTASALLESPIMENTELWUTKEA,CAMPINAS OESTE,2.44,2018,URBANA,-47.10749817,-23.00028038
191224,JARDIM CAPELA IV,ENSINO MEDIO,JARDIMELAIV,SUL 2,2.44,2018,URBANA,-46.78269958,-23.71883011
558643,MARIA DE CAMPOS PIRES MACIEL PROFESSORA,ENSINO MEDIO,MARIACAMPOSPIRESMACIELA,JAU,2.44,2018,URBANA,-48.89279938,-22.30960083
901064,JUDITH FERRAO LEGASPE PROFESSORA,ENSINO MEDIO,JUDITHFERRAOLEGASA,PIRASSUNUNGA,2.44,2018,URBANA,-47.33156967,-22.35879517
901830,ANTONIO PRATICI PREFEITO,ENSINO MEDIO,ANTONIOPRATICI,GUARULHOS SUL,2.44,2018,URBANA,-46.41783905,-23.42240906
908587,ODETE MARIA DE FREITAS,ENSINO MEDIO,ODETEMARIAFREITAS,TABOAO DA SERRA,2.44,2018,URBANA,-46.80070114,-23.66939926
912013,JULIA RIBEIRO BRETAS PROFA,ENSINO MEDIO,JULIARIBEIROBRETASA,APIAI,2.44,2018,RURAL,-48.93067932,-24.46565056
917783,ANTONIO SPROESSER PROFESSOR,ENSINO MEDIO,ANTONIOSESSER,CAPIVARI,2.44,2018,URBANA,-47.30696106,-22.95274925
922626,JOSE AYLTON FALCAO PROFESSOR,ENSINO MEDIO,JOSEAYLTONFALCAO,PINDAMONHANGABA,2.44,2018,URBANA,-45.49644089,-22.94994926
924039,CLAUDINEI GARCIA PROFESSOR,ENSINO MEDIO,CLAUDINEIGARCIA,OSASCO,2.44,2018,URBANA,-46.76583099,-23.51209068
924635,BAIRRO DO EMBAUZINHO,ENSINO MEDIO,BAIRROEMBAUZINHO,GUARATINGUETA,2.44,2018,RURAL,-45.00149918,-22.61599922
924891,ALTAIR DE FATIMA FURIGO POLETTINI PROFA DRA,ENSINO MEDIO,ALTAIRFATIMAFURIGOPOLETTINIAA,MOGI MIRIM,2.44,2018,URBANA,-46.9782,-22.4564
2136,CARAMURU,ENSINO MEDIO,CARAMURU,LESTE 5,2.43,2018,URBANA,-46.51810074,-23.56398964
4212,ADOLFO GORDO SENADOR,ENSINO MEDIO,ADOLFOGORDO,CENTRO OESTE,2.43,2018,URBANA,-46.72069931,-23.58740044
7857,GIUSEPPE PISONI PADRE,ENSINO MEDIO,GIUSEPPISONIPAE,MAUA,2.43,2018,URBANA,-46.3915,-23.7291
