CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
26700,GIUSEPPE FORMIGONI,ENSINO MEDIO,GIUSEPFORMIGONI,CATANDUVA,6,2018,URBANA,-48.80245972,-21.24914932
35361,MARIA DOLORES VERISSIMO MADUREIRA PROFESSORA,ENSINO MEDIO,MARIADOLORESISSIMOMADUREIRAA,SAO JOSE DOS CAMPOS,5.71,2018,URBANA,-45.8992639,-23.2245825
20734,ADEMAR VIEIRA PISCO,ENSINO MEDIO,ADEMARVIEIRAPISCO,PIRACICABA,5.59,2018,URBANA,-48.16059875,-22.56777
21179,JORGE COURY DOUTOR,ENSINO MEDIO,JORGECOURY,PIRACICABA,5.59,2018,URBANA,-47.65755844,-22.73282051
15209,ERNESTA XAVIER RABELO ORSI PROFA,ENSINO MEDIO,ERNESTAXAVIERRABELOORSIA,ITAPETININGA,5.52,2018,URBANA,-48.03476467,-23.58973744
49712,DALVA VIEIRA ITAVO PROFESSORA,ENSINO MEDIO,DALVAVIEIRAITAVOA,BARRETOS,5.52,2018,URBANA,-48.88911057,-20.74173927
27509,PORFIRIO PIMENTEL,ENSINO MEDIO,PORFIRIOPIMENTEL,VOTUPORANGA,5.46,2018,URBANA,-49.96292989,-20.80727296
27492,GENTILA GUIZZI PINATTI,ENSINO MEDIO,GENTILAGUIZZIPINATTI,VOTUPORANGA,5.42,2018,URBANA,-49.9239006,-20.65699959
28915,JAMIL KHAUAN PROFESSOR,ENSINO MEDIO,JAMILKHAUAN,SAO JOSE DO RIO PRETO,5.4,2018,URBANA,-49.36095047,-20.81509972
35920,LONGINO VASTBINDER PADRE,ENSINO MEDIO,LONGINOVASTBINDERPAE,MOGI MIRIM,5.32,2018,URBANA,-46.9393959,-22.38398933
13936,FRANCISCO PEREIRA DA SILVA PROFESSOR,ENSINO MEDIO,FRANCISCOREIRASILVA,SAO JOSE DOS CAMPOS,5.29,2018,URBANA,-45.85366813,-23.18348763
462378,SUELY MARIA CACAO AMBIEL BATISTA PROFESSORA,ENSINO MEDIO,SUELYMARIACACAOAMBIELBATISTAA,CAPIVARI,5.26,2018,URBANA,-47.23289871,-23.10639954
918015,MARIA ANTONIA ZANGARINI FERREIRA PROFESSORA,ENSINO MEDIO,MARIAANTONIAZANGARINIFERREIRAA,MIRANTE DO PARANAPANEMA,5.19,2018,RURAL,-52.6855011,-22.47488976
14291,NEWTON CAMARA LEAL BARROS,ENSINO MEDIO,NEWTONCAMARALEALBARROS,TAUBATE,5.18,2018,URBANA,-45.52880096,-22.99839973
297380,ASSENTAMENTO SANTA ZELIA,ENSINO MEDIO,ASTAMENTOSANTAZELIA,MIRANTE DO PARANAPANEMA,5.18,2018,RURAL,-52.42435074,-22.37401009
28782,LEME CARDEAL,ENSINO MEDIO,LEMECARDEAL,SAO JOSE DO RIO PRETO,5.15,2018,URBANA,-49.3848381,-20.81579018
926036,BAIRRO TURVO DOS ALMEIDAS,ENSINO MEDIO,BAIRROTURVODOSALMEIDAS,ITAPEVA,5.13,2018,RURAL,-48.20521927,-23.85849953
14965,ATILIO INNOCENTI PROF,ENSINO MEDIO,ATILIOINNOCENTI,BOTUCATU,5.12,2018,URBANA,-48.57217026,-22.72612381
13523,ILZA IRMA MOELLER COPPIO PROFESSORA,ENSINO MEDIO,ILZAMOELLERCOPPIOA,SAO JOSE DOS CAMPOS,5.11,2018,URBANA,-45.90570831,-23.15654945
25159,FRANCISCO SILVEIRA COELHO PROF,ENSINO MEDIO,FRANCISCOSILVEIRACOELHO,TAQUARITINGA,5.09,2018,URBANA,-48.5037,-21.4125
25240,EDUARDO VELHO FILHO PROF,ENSINO MEDIO,EDUARDOVELHOFILHO,BAURU,5.02,2018,URBANA,-49.06740189,-22.3125
42328,NELSON DO NASCIMENTO MONTEIRO PROFESSOR,ENSINO MEDIO,NELSONNASCIMENTOMONTEIRO,SAO JOSE DOS CAMPOS,5.01,2018,URBANA,-45.91719055,-23.24752998
30211,ANTONIO KASSAWARA KATUTOK,ENSINO MEDIO,ANTONIOKASSAWARAKATUTOK,BIRIGUI,5,2018,URBANA,-50.55459976,-21.5326004
11897,ANTONIO ABLAS FILHO DOUTOR,ENSINO MEDIO,ANTONIOABLASFILHO,SANTOS,4.98,2018,URBANA,-46.31169891,-23.98049927
21180,SAMUEL DE CASTRO NEVES DOUTOR,ENSINO MEDIO,SAMUELCASTRONEVES,PIRACICABA,4.98,2018,URBANA,-47.73817825,-22.62155914
27121,LESBINO DE SOUZA ALKIMIN,ENSINO MEDIO,LESBINOSOUZAALKIMIN,FERNANDOPOLIS,4.98,2018,URBANA,-50.5409,-19.9414
22603,ABILIO MANOEL,ENSINO MEDIO,ABILIOMANOEL,JABOTICABAL,4.97,2018,URBANA,-48.482542,-20.9487121
30659,TEREZA VALVERDE CARDOSO TIRAPELE PROFA,ENSINO MEDIO,TEREZAVALDECARDOSOTIRALEA,VOTUPORANGA,4.96,2018,URBANA,-50.18933868,-20.79838943
23589,SALVADOR GOGLIANO JUNIOR PROF,ENSINO MEDIO,SALVADORGOGLIANO,TAQUARITINGA,4.92,2018,URBANA,-48.63031006,-21.17602921
21763,JOSE LEVY CORONEL,ENSINO MEDIO,JOSELEVY,LIMEIRA,4.87,2018,URBANA,-47.45817184,-22.48159027
26136,ALFREDO PUJOL DR,ENSINO MEDIO,ALFREDOPUJOL,BAURU,4.87,2018,URBANA,-49.50374985,-22.00691986
42161,CARMEN MIRANDA,ENSINO MEDIO,CARMENMIRANDA,SAO VICENTE,4.87,2018,URBANA,-47.00318146,-24.31484032
3748,ARCY MAJOR,ENSINO MEDIO,ARCYMAJOR,CENTRO SUL,4.85,2018,URBANA,-46.63562012,-23.57869911
25012,JOEL MIRANDA CAPITAO,ENSINO MEDIO,JOELMIRANDA,TAQUARITINGA,4.84,2018,URBANA,-48.39110947,-21.46740913
21076,SUD MENNUCCI,ENSINO MEDIO,SUDMENNUCCI,PIRACICABA,4.83,2018,URBANA,-47.64459991,-22.72907448
578587,PROFESSORA ORNELLA RITA FERRARI SACILOTTO,ENSINO MEDIO,AORNELLARITAFERRARISACILOTTO,AMERICANA,4.83,2018,URBANA,-47.34872055,-22.78125954
40873,JAMIL GADIA DEPUTADO,ENSINO MEDIO,JAMILGADIA,CAMPINAS OESTE,4.81,2018,URBANA,-47.05892944,-22.94791985
3700,ANTONIO ALVES CRUZ PROFESSOR,ENSINO MEDIO,ANTONIOALVESCRUZ,CENTRO OESTE,4.77,2018,URBANA,-46.68273926,-23.55014038
9404,JOANA MOTTA PROFESSORA,ENSINO MEDIO,JOANAMOTTAA,SAO BERNARDO DO CAMPO,4.77,2018,URBANA,-46.57369995,-23.62811089
28794,AMIRA HOMSI CHALELLA PROFESSORA,ENSINO MEDIO,AMIRAHOICHALELLAA,SAO JOSE DO RIO PRETO,4.76,2018,URBANA,-49.37702858,-20.83193857
48562,IZABEL DE ALMEIDA MARIN PROFESSORA,ENSINO MEDIO,IZABELALMEIDAMARINA,BIRIGUI,4.76,2018,URBANA,-50.35620117,-21.29829979
913662,ROMILDA LAZARA PILLON DOS SANTOS PROFESSORA,ENSINO MEDIO,ROMILDALAZARAPILLONDOSSANTOSA,MIRANTE DO PARANAPANEMA,4.76,2018,RURAL,-52.31266022,-22.31339073
913674,FRANCISCO FERREIRA DE SOUZA PROFESSOR,ENSINO MEDIO,FRANCISCOFERREIRASOUZA,MIRANTE DO PARANAPANEMA,4.76,2018,RURAL,-52.38623047,-22.48529053
13390,ALFREDO PUJOL DOUTOR,ENSINO MEDIO,ALFREDOPUJOL,PINDAMONHANGABA,4.74,2018,URBANA,-45.45859146,-22.92361069
40548,NESTOR DE CAMARGO PREFEITO,ENSINO MEDIO,NESTORCAMARGO,ITAPEVI,4.74,2018,URBANA,-46.81553021,-23.5015229
28927,JOSE FELICIO MIZIARA PROFESSOR,ENSINO MEDIO,JOSEFELICIOMIZIARA,SAO JOSE DO RIO PRETO,4.73,2018,URBANA,-49.39509964,-20.82909966
921154,FERNANDO MILANO PROFESSOR,ENSINO MEDIO,FERNANDOMILANO,TABOAO DA SERRA,4.73,2018,URBANA,-46.79632187,-23.61138153
12191,AUGUSTO PAES D AVILA REVERENDO,ENSINO MEDIO,AUGUSTOPAESDAVILAREENDO,SAO VICENTE,4.72,2018,URBANA,-46.43899918,-24.01116943
13869,JOSE MARIOTTO FERREIRA MAJOR AVIADOR,ENSINO MEDIO,JOSEMARIOTTOFERREIRAMAJORAVIADOR,SAO JOSE DOS CAMPOS,4.72,2018,URBANA,-45.88159943,-23.20630074
479111,HENRIQUE MIGUEL HACL PROFESSOR,ENSINO MEDIO,HENRIQUEMIGUELHACL,BRAGANCA PAULISTA,4.72,2018,RURAL,-46.3012,-23.181
13365,RYOITI YASSUDA,ENSINO MEDIO,RYOITIYASSUDA,PINDAMONHANGABA,4.71,2018,URBANA,-45.45875168,-22.93587875
24442,SEBASTIAO DE OLIVEIRA ROCHA PROFESSOR,ENSINO MEDIO,SEBASTIAOOLIVEIRAROCHA,SAO CARLOS,4.71,2018,URBANA,-47.89834976,-22.01428986
17224,JOAO XXIII,ENSINO MEDIO,JOAOXXIII,AMERICANA,4.7,2018,URBANA,-47.32849884,-22.75040054
911124,BENEDITO FLORES DE AZEVEDO,ENSINO MEDIO,BENEDITOFLORESAZEVEDO,MOGI MIRIM,4.7,2018,URBANA,-46.82770157,-22.42589951
20539,OSCAR RODRIGUES ALVES DR,ENSINO MEDIO,OSCARROIGUESALVES,MOGI MIRIM,4.68,2018,URBANA,-46.95698929,-22.43124008
26736,GABRIEL HERNANDEZ,ENSINO MEDIO,GABRIELHERNANDEZ,CATANDUVA,4.68,2018,URBANA,-48.78564072,-21.19095993
922959,SONIA APARECIDA BATAGLIA CARDOSO PROFA,ENSINO MEDIO,SONIAAPARECIDABATAGLIACARDOSOA,AMERICANA,4.67,2018,URBANA,-47.37147141,-22.73806953
3669,ALEXANDRE VON HUMBOLDT,ENSINO MEDIO,ALEXANEVONHUMBOLDT,CENTRO OESTE,4.66,2018,URBANA,-46.71147919,-23.50737
24077,SEBASTIAO FERNANDES PALMA PROFESSOR,ENSINO MEDIO,SEBASTIAOFERNANDESPALMA,RIBEIRAO PRETO,4.66,2018,URBANA,-47.80279922,-21.18888092
34356,NHONHO BRAGA CORONEL,ENSINO MEDIO,NHONHOBRAGA,PIRAJU,4.66,2018,URBANA,-49.3891,-23.1957
30454,MANOEL BENTO NETO,ENSINO MEDIO,MANOELBENTONETO,PENAPOLIS,4.65,2018,URBANA,-50.50260162,-21.6385994
18569,DJALMA OCTAVIANO PROFESSOR,ENSINO MEDIO,DJALMAOCTAVIANO,CAMPINAS LESTE,4.64,2018,URBANA,-47.10441589,-22.91923332
31264,9 DE JULHO,ENSINO MEDIO,9JULHO,ADAMANTINA,4.64,2018,URBANA,-51.52502105,-21.48951565
34228,JOSE AUGUSTO DE OLIVEIRA PROFESSOR,ENSINO MEDIO,JOSEAUGUSTOOLIVEIRA,OURINHOS,4.64,2018,URBANA,-49.85727692,-22.97043228
25525,JOSE APARECIDO GUEDES DE AZEVEDO PROF,ENSINO MEDIO,JOSEAPARECIDOGUEDESAZEVEDO,BAURU,4.62,2018,URBANA,-49.08710098,-22.31699944
462792,BAIRRO FRANCISCO CASTILHO,ENSINO MEDIO,BAIRROFRANCISCOCASTILHO,RIBEIRAO PRETO,4.62,2018,URBANA,-47.75738907,-21.33128929
20163,GABRIEL POZZI PROFESSOR,ENSINO MEDIO,GABRIELPOZZI,LIMEIRA,4.58,2018,URBANA,-47.38399887,-22.5590992
23760,ANTONIO JOSE PEDROSO PROFESSOR,ENSINO MEDIO,ANTONIOJOSEOSO,JABOTICABAL,4.57,2018,URBANA,-48.32661819,-21.25551033
19720,CONDE DO PARNAIBA,ENSINO MEDIO,CONARNAIBA,JUNDIAI,4.56,2018,URBANA,-46.88619995,-23.18560028
17231,EMILIO ROMI COMENDADOR,ENSINO MEDIO,EMILIOROMICOMENDADOR,AMERICANA,4.55,2018,URBANA,-47.42559814,-22.75460052
22068,PEDRO JOSE NETO,ENSINO MEDIO,OJOSENETO,ARARAQUARA,4.55,2018,URBANA,-48.17913818,-21.78704071
26943,PASCHOAL CASTREQUINI PREFEITO,ENSINO MEDIO,PASCHOALCASTREQUINI,FERNANDOPOLIS,4.55,2018,URBANA,-50.13510132,-19.98209953
8126,PAULO VI PAPA,ENSINO MEDIO,PAULOVIPAPA,SANTO ANDRE,4.54,2018,URBANA,-46.5264,-23.6911
18041,JUVENAL ALVIM MAJOR,ENSINO MEDIO,JUVENALALVIMMAJOR,BRAGANCA PAULISTA,4.54,2018,URBANA,-46.55070114,-23.12096977
1788,OLGA BENATTI PROFESSORA,ENSINO MEDIO,OLGABENATTIA,CENTRO SUL,4.5,2018,URBANA,-46.57995807,-23.59184297
18326,CULTO A CIENCIA,ENSINO MEDIO,CULTOACIENCIA,CAMPINAS LESTE,4.5,2018,URBANA,-47.06880951,-22.90084076
21921,ALFREDO EVANGELISTA NOGUEIRA,ENSINO MEDIO,ALFREDOEVANGELISTANOGUEIRA,ARARAQUARA,4.5,2018,URBANA,-48.3340683,-22.04006958
16780,ODILON BATISTA JORDAO VEREADOR,ENSINO MEDIO,ODILONBATISTAJORDAO,VOTORANTIM,4.49,2018,URBANA,-47.71649933,-23.81834984
20254,ARMANI PADRE,ENSINO MEDIO,ARMANIPAE,MOGI MIRIM,4.49,2018,URBANA,-46.94103273,-22.37194093
30764,FRANCISCO SCHMIDT CEL,ENSINO MEDIO,FRANCISCOSCHMIDT,ANDRADINA,4.46,2018,URBANA,-51.10780683,-20.63774653
31860,MARIA LUIZA FORMOZINHO RIBEIRO PROFESSORA,ENSINO MEDIO,MARIALUIZAFORMOZINHORIBEIROA,PRESIDENTE PRUDENTE,4.46,2018,URBANA,-51.40019989,-22.12229919
22925,SILVIO DE ALMEIDA,ENSINO MEDIO,SILVIOALMEIDA,RIBEIRAO PRETO,4.45,2018,URBANA,-47.59466171,-20.89863014
27546,JOSE FLORENCIO DO AMARAL,ENSINO MEDIO,JOSEFLORENCIOAMARAL,VOTUPORANGA,4.45,2018,URBANA,-50.08992004,-20.84991074
30508,CINELZIA LORENCI MARONI PROFESSORA,ENSINO MEDIO,CINELZIALORENCIMARONIA,BIRIGUI,4.44,2018,URBANA,-50.6067009,-21.60210991
26219,ELZIRA GARBINO PAGANI PROFA,ENSINO MEDIO,ELZIRAGARBINOPAGANIA,LINS,4.42,2018,URBANA,-49.3572998,-21.73380089
34472,GENESIO BOAMORTE DOUTOR,ENSINO MEDIO,GENESIOBOAMORTE,OURINHOS,4.42,2018,URBANA,-49.63047028,-22.90574074
4157,ALBERTO TORRES,ENSINO MEDIO,ALBERTOTORRES,CENTRO OESTE,4.41,2018,URBANA,-46.71475983,-23.56886673
462330,JOAQUIM PINTO MACHADO JUNIOR PROFESSOR MACHADINHO,ENSINO MEDIO,JOAQUIMPINTOMACHADOMACHADINHO,ARARAQUARA,4.41,2018,URBANA,-48.14220047,-21.81940079
921579,FRANCA FRANCHI PROFA,ENSINO MEDIO,FRANCAFRANCHIA,MOGI MIRIM,4.41,2018,RURAL,-46.63121033,-22.59693909
8874,ROBERT KENNEDY SENADOR,ENSINO MEDIO,ROBERTKENNEDY,SAO BERNARDO DO CAMPO,4.4,2018,URBANA,-46.56819916,-23.72156334
34373,MARCOS RIBEIRO CORONEL,ENSINO MEDIO,MARCOSRIBEIRO,PIRAJU,4.4,2018,URBANA,-49.5112114,-23.39081955
35373,JOAQUIM ANDRADE MEIRELLES PROFESSOR,ENSINO MEDIO,JOAQUIMANADEMEIRELLES,SAO JOSE DOS CAMPOS,4.4,2018,URBANA,-45.88196945,-23.23296928
29178,JARDIM RIVIERA,ENSINO MEDIO,JARDIMRIVIERA,SANTO ANDRE,4.38,2018,URBANA,-46.49403,-23.74165916
17361,FRANCISCO TOZZI DR,ENSINO MEDIO,FRANCISCOTOZZI,MOGI MIRIM,4.37,2018,URBANA,-46.62406158,-22.47868919
19975,PAULO DE ALMEIDA NOGUEIRA DOUTOR,ENSINO MEDIO,PAULOALMEIDANOGUEIRA,LIMEIRA,4.37,2018,URBANA,-47.2001,-22.6461
903197,ORESTES ORIS DE ALBUQUERQUE PROF,ENSINO MEDIO,ORESTESORISALBUQUERQUE,ITAPETININGA,4.36,2018,URBANA,-48.4099,-23.4991
29889,JORGE CORREA PROF,ENSINO MEDIO,JORGECORREA,ARACATUBA,4.35,2018,URBANA,-50.43170166,-21.21158981
23176,MARIO D ELIA,ENSINO MEDIO,MARIODELIA,FRANCA,4.34,2018,URBANA,-47.40726852,-20.54615021
46309,TERCIO MORAES PEREIRA REV,ENSINO MEDIO,TERCIOMORAESREIRA,LESTE 2,4.34,2018,URBANA,-46.43540955,-23.50180054
903814,ARIOSTO RIBEIRO PERSICANO PROF,ENSINO MEDIO,ARIOSTORIBEIRORSICANO,MOGI MIRIM,4.33,2018,RURAL,-46.81948853,-22.63431931
